page,id,title,url,path,header_image_url,annotation_count,pyongs_count,primaryartist_id,primaryartist_name,primaryartist_url,primaryartist_imageurl
1,2277616,Fullstendig Ayatollah,https://genius.com/Oral-bee-fullstendig-ayatollah-lyrics,/Oral-bee-fullstendig-ayatollah-lyrics,https://assets.genius.com/images/default_cover_image.png?1491429285,1,,3403,Oral Bee,https://genius.com/artists/Oral-bee,https://s3.amazonaws.com/rapgenius/avatars/medium/1361548667_HLAUX3gQRvugZVTLlqZq.png
1,485170,I just love music,https://genius.com/Ayatollah-i-just-love-music-annotated,/Ayatollah-i-just-love-music-annotated,https://images.genius.com/1bc073b947e04f4b6cf5a6794ea9450c.500x333x1.jpg,1,,27469,Ayatollah,https://genius.com/artists/Ayatollah,https://images.genius.com/1bc073b947e04f4b6cf5a6794ea9450c.500x333x1.jpg
1,2381299,Ayatollah [Acoustic],https://genius.com/Catfish-and-the-bottlemen-ayatollah-acoustic-lyrics,/Catfish-and-the-bottlemen-ayatollah-acoustic-lyrics,https://images.rapgenius.com/f52198339a3e20bc0ad978f510f9f111.1000x667x1.jpg,5,,185633,Catfish and the Bottlemen,https://genius.com/artists/Catfish-and-the-bottlemen,https://images.genius.com/c8173d872d5a0d84b7976f74eaad9d22.1000x666x1.jpg
1,1131597,Ayatollah Of Rock 'n' Rolla,https://genius.com/Soulfly-ayatollah-of-rock-n-rolla-lyrics,/Soulfly-ayatollah-of-rock-n-rolla-lyrics,https://images.genius.com/335b7332276032d30e788d35836858a1.1000x1000x1.jpg,2,,301317,Soulfly,https://genius.com/artists/Soulfly,https://images.genius.com/dc9ce1f0c56ad2b492be999580b5eccc.200x291x1.jpg
1,929093,Ayatollah You So,https://genius.com/The-dickies-ayatollah-you-so-lyrics,/The-dickies-ayatollah-you-so-lyrics,https://assets.genius.com/images/default_cover_image.png?1491429285,1,,342526,The Dickies,https://genius.com/artists/The-dickies,https://assets.genius.com/images/default_avatar_300.png?1491429285
1,2221042,Kingston,https://genius.com/Ayatollah-kingston-lyrics,/Ayatollah-kingston-lyrics,https://images.genius.com/11ea9b74ca9e51ceebf0e296336b94b3.250x251x1.jpg,1,,27469,Ayatollah,https://genius.com/artists/Ayatollah,https://images.genius.com/1bc073b947e04f4b6cf5a6794ea9450c.500x333x1.jpg
1,1747626,Ayatollah,https://genius.com/Swingers-ayatollah-lyrics,/Swingers-ayatollah-lyrics,https://images.genius.com/1fc72a15ec778db445f736c621bfd1d6.465x465x1.jpg,1,,358830,Swingers,https://genius.com/artists/Swingers,https://assets.genius.com/images/default_avatar_300.png?1491429285
1,1657944,Ayatollah,https://genius.com/Siniestro-total-ayatollah-lyrics,/Siniestro-total-ayatollah-lyrics,https://images.genius.com/d6a4d19d80e35f70d92355a3cefe3a31.953x953x1.jpg,1,,319917,Siniestro Total,https://genius.com/artists/Siniestro-total,https://assets.genius.com/images/default_avatar_300.png?1491429285
1,1518132,Son Av Ayatollah,https://genius.com/Torsson-son-av-ayatollah-lyrics,/Torsson-son-av-ayatollah-lyrics,https://assets.genius.com/images/default_cover_image.png?1491429285,1,,357617,Torsson,https://genius.com/artists/Torsson,https://assets.genius.com/images/default_avatar_300.png?1491429285
1,82756,Bath Salt,https://genius.com/A-ap-mob-bath-salt-lyrics,/A-ap-mob-bath-salt-lyrics,https://s3.amazonaws.com/rapgenius/1346106708_asap-mob-lords-never-worry.gif,70,112,21894,A$AP MOB,https://genius.com/artists/A-ap-mob,https://images.genius.com/172b0bd538adfd9ea97b926648d500f1.500x236x8.gif
