page,id,title,url,path,header_image_url,annotation_count,pyongs_count,primaryartist_id,primaryartist_name,primaryartist_url,primaryartist_imageurl
1,177213,Heart In Mind,https://genius.com/Caliph-heart-in-mind-lyrics,/Caliph-heart-in-mind-lyrics,https://assets.genius.com/images/default_cover_image.png?1491429285,3,,21437,Caliph,https://genius.com/artists/Caliph,https://assets.genius.com/images/default_avatar_300.png?1491429285
1,480455,Sermon at Grand Mosque of Mosul,https://genius.com/Caliph-ibrahim-sermon-at-grand-mosque-of-mosul-annotated,/Caliph-ibrahim-sermon-at-grand-mosque-of-mosul-annotated,https://images.rapgenius.com/86fcff552c710d1694cedd3910f07660.560x331x1.jpg,1,,207536,Caliph Ibrahim,https://genius.com/artists/Caliph-ibrahim,https://assets.genius.com/images/default_avatar_300.png?1491429285
1,497163,No Way To Run,https://genius.com/Caliph-b-no-way-to-run-lyrics,/Caliph-b-no-way-to-run-lyrics,https://assets.genius.com/images/default_cover_image.png?1491429285,27,,212751,Caliph B,https://genius.com/artists/Caliph-b,https://assets.genius.com/images/default_avatar_300.png?1491429285
1,532225,Head Of State,https://genius.com/Caliph-b-head-of-state-lyrics,/Caliph-b-head-of-state-lyrics,https://assets.genius.com/images/default_cover_image.png?1491429285,1,,212751,Caliph B,https://genius.com/artists/Caliph-b,https://assets.genius.com/images/default_avatar_300.png?1491429285
1,747233,Look Up To Me,https://genius.com/Caliph-b-look-up-to-me-lyrics,/Caliph-b-look-up-to-me-lyrics,https://assets.genius.com/images/default_cover_image.png?1491429285,18,,212751,Caliph B,https://genius.com/artists/Caliph-b,https://assets.genius.com/images/default_avatar_300.png?1491429285
1,500615,At The End,https://genius.com/Caliph-b-at-the-end-lyrics,/Caliph-b-at-the-end-lyrics,https://assets.genius.com/images/default_cover_image.png?1491429285,18,,212751,Caliph B,https://genius.com/artists/Caliph-b,https://assets.genius.com/images/default_avatar_300.png?1491429285
1,503821,Red Foxes,https://genius.com/Caliph-b-red-foxes-lyrics,/Caliph-b-red-foxes-lyrics,https://assets.genius.com/images/default_cover_image.png?1491429285,19,,212751,Caliph B,https://genius.com/artists/Caliph-b,https://assets.genius.com/images/default_avatar_300.png?1491429285
1,500590,Islamatic Verse,https://genius.com/Caliph-b-islamatic-verse-lyrics,/Caliph-b-islamatic-verse-lyrics,https://assets.genius.com/images/default_cover_image.png?1491429285,20,,212751,Caliph B,https://genius.com/artists/Caliph-b,https://assets.genius.com/images/default_avatar_300.png?1491429285
1,498869,Brace Yourself,https://genius.com/Caliph-b-brace-yourself-lyrics,/Caliph-b-brace-yourself-lyrics,https://assets.genius.com/images/default_cover_image.png?1491429285,24,,212751,Caliph B,https://genius.com/artists/Caliph-b,https://assets.genius.com/images/default_avatar_300.png?1491429285
1,510121,Petroleum Caliphate,https://genius.com/Emperor-x-petroleum-caliphate-lyrics,/Emperor-x-petroleum-caliphate-lyrics,https://images.genius.com/2e768b92a58ea0f2d3c36eaf9f87cdaa.1000x1000x1.jpg,1,,165570,Emperor X,https://genius.com/artists/Emperor-x,https://assets.genius.com/images/default_avatar_300.png?1491429285
2,3003504,"The Caliph, Cupid and the Clock",https://genius.com/O-henry-the-caliph-cupid-and-the-clock-annotated,/O-henry-the-caliph-cupid-and-the-clock-annotated,https://images.genius.com/1203705a45b42765d6cbd059bc8b10ec.667x1000x1.png,0,,37774,O. Henry,https://genius.com/artists/O-henry,https://images.genius.com/f16ea2b7ecb043b3857cbe3f541f9e7b.1000x1000x1.jpg
2,2185071,The Lady Caliph: Nocturne,https://genius.com/Ennio-morriconeyo-yo-ma-the-lady-caliph-nocturne-lyrics,/Ennio-morriconeyo-yo-ma-the-lady-caliph-nocturne-lyrics,https://assets.genius.com/images/default_cover_image.png?1491429285,1,,521656,"Ennio Morricone,Yo-Yo Ma",https://genius.com/artists/Ennio-morriconeyo-yo-ma,https://assets.genius.com/images/default_avatar_300.png?1491429285
2,77922,Green Street Jungle Cypher,https://genius.com/12for12-boston-green-street-jungle-cypher-lyrics,/12for12-boston-green-street-jungle-cypher-lyrics,https://assets.genius.com/images/default_cover_image.png?1491429285,13,,21441,#12For12 Boston,https://genius.com/artists/12for12-boston,https://assets.genius.com/images/default_avatar_300.png?1491429285
2,105684,Rock & Sock,https://genius.com/Michael-christmas-rock-and-sock-lyrics,/Michael-christmas-rock-and-sock-lyrics,https://images.genius.com/3f3b75380003be15ac8f9ac9a0c7f57b.300x300x1.jpg,8,,32998,Michael Christmas,https://genius.com/artists/Michael-christmas,https://i.embed.ly/1/display?key=fc778e44915911e088ae4040f9f86dcd&url=https%3A%2F%2Fwww.gorillaradio.tv%2Fwp-content%2Fuploads%2F2015%2F10%2FMichaelChristmas2.jpg
2,489423,Takeover,https://genius.com/Uzi-lavague-takeover-lyrics,/Uzi-lavague-takeover-lyrics,https://assets.genius.com/images/default_cover_image.png?1491429285,15,,212750,Uzi LaVague,https://genius.com/artists/Uzi-lavague,https://assets.genius.com/images/default_avatar_300.png?1491429285
2,205094,Self-Reliance,https://genius.com/Ralph-waldo-emerson-self-reliance-annotated,/Ralph-waldo-emerson-self-reliance-annotated,https://s3.amazonaws.com/rapgenius/ralph-waldo-emerson-448.jpg,98,35,27149,Ralph Waldo Emerson,https://genius.com/artists/Ralph-waldo-emerson,https://s3.amazonaws.com/rapgenius/ralph-waldo-emerson-448.jpg
2,141146,Ulysses (Chap. 15 - Circe),https://genius.com/James-joyce-ulysses-chap-15-circe-annotated,/James-joyce-ulysses-chap-15-circe-annotated,https://s3.amazonaws.com/rapgenius/1369952717_JoyceUlysses2.jpg,303,9,22971,James Joyce,https://genius.com/artists/James-joyce,https://images.genius.com/74c18924496a76297bac687718530e30.900x920x1.jpg
2,265311,Higgs Boson Blues,https://genius.com/Nick-cave-and-the-bad-seeds-higgs-boson-blues-lyrics,/Nick-cave-and-the-bad-seeds-higgs-boson-blues-lyrics,https://images.genius.com/5399ff15abef837d6d66a71492571fb3.1000x1000x1.jpg,24,7,39212,Nick Cave and the Bad Seeds,https://genius.com/artists/Nick-cave-and-the-bad-seeds,https://images.genius.com/53b7ba6b61fbed34711c6067289c9f45.830x830x1.jpg
2,70502,Young Schwarzenegger,https://genius.com/Young-yugo-young-schwarzenegger-lyrics,/Young-yugo-young-schwarzenegger-lyrics,https://assets.genius.com/images/default_cover_image.png?1491429285,172,,19102,Young Yugo,https://genius.com/artists/Young-yugo,https://assets.genius.com/images/default_avatar_300.png?1491429285
2,2490439,Fire in The Booth Part 4,https://genius.com/Akala-fire-in-the-booth-part-4-lyrics,/Akala-fire-in-the-booth-part-4-lyrics,https://images.genius.com/bd174bbb42265536ee1741370f5dc593.600x600x1.jpg,71,2,1348,Akala,https://genius.com/artists/Akala,https://images.genius.com/3222ca5815132f2ac56b73bacb186bf1.1000x672x1.jpg
3,187785,"Arabian Nights,Vol. 2 (Chap. 3)",https://genius.com/Richard-f-burton-arabian-nightsvol-2-chap-3-annotated,/Richard-f-burton-arabian-nightsvol-2-chap-3-annotated,https://assets.genius.com/images/default_cover_image.png?1491429285,1,,60165,Richard F. Burton,https://genius.com/artists/Richard-f-burton,https://assets.genius.com/images/default_avatar_300.png?1491429285
3,82319,Economy,https://genius.com/Henry-david-thoreau-economy-annotated,/Henry-david-thoreau-economy-annotated,https://s3.amazonaws.com/rapgenius/1369420027_images.jpg,27,1,17820,Henry David Thoreau,https://genius.com/artists/Henry-david-thoreau,https://s3.amazonaws.com/rapgenius/230px-Benjamin_D._Maxham_-_Henry_David_Thoreau_-_Restored.jpg
