page,id,title,url,path,header_image_url,annotation_count,pyongs_count,primaryartist_id,primaryartist_name,primaryartist_url,primaryartist_imageurl
1,159621,Chapter 18: El Hajj Malik El Shabaz,https://genius.com/Malcolm-x-chapter-18-el-hajj-malik-el-shabaz-annotated,/Malcolm-x-chapter-18-el-hajj-malik-el-shabaz-annotated,https://s3.amazonaws.com/rapgenius/AutobiographyOfMalcolmX.JPG,6,,12037,Malcolm X,https://genius.com/artists/Malcolm-x,https://s3.amazonaws.com/rapgenius/1359822732_Malcolm-X-9396195-1-402.jpg
1,168528,Malcolm X (Al Hajj Malik Al Shabbaz),https://genius.com/Abd-al-malik-malcolm-x-al-hajj-malik-al-shabbaz-annotated,/Abd-al-malik-malcolm-x-al-hajj-malik-al-shabbaz-annotated,https://s3.amazonaws.com/rapgenius/adb-al-malik.jpg,1,,13864,Abd Al Malik,https://genius.com/artists/Abd-al-malik,https://s3.amazonaws.com/rapgenius/adb-al-malik.jpg
1,798389,Kay Ganda Ng Ating Musika,https://genius.com/Hajji-alejandro-kay-ganda-ng-ating-musika-lyrics,/Hajji-alejandro-kay-ganda-ng-ating-musika-lyrics,https://assets.genius.com/images/default_cover_image.png?1491429285,1,,343717,Hajji Alejandro,https://genius.com/artists/Hajji-alejandro,https://assets.genius.com/images/default_avatar_300.png?1491429285
1,798487,Nakapagtataka,https://genius.com/Hajji-alejandro-nakapagtataka-lyrics,/Hajji-alejandro-nakapagtataka-lyrics,https://assets.genius.com/images/default_cover_image.png?1491429285,1,,343717,Hajji Alejandro,https://genius.com/artists/Hajji-alejandro,https://assets.genius.com/images/default_avatar_300.png?1491429285
1,742353,Ikaw at ang Gabi,https://genius.com/Hajji-alejandro-ikaw-at-ang-gabi-lyrics,/Hajji-alejandro-ikaw-at-ang-gabi-lyrics,https://assets.genius.com/images/default_cover_image.png?1491429285,1,,343717,Hajji Alejandro,https://genius.com/artists/Hajji-alejandro,https://assets.genius.com/images/default_avatar_300.png?1491429285
1,798407,May Minamahal,https://genius.com/Hajji-alejandro-may-minamahal-lyrics,/Hajji-alejandro-may-minamahal-lyrics,https://assets.genius.com/images/default_cover_image.png?1491429285,1,,343717,Hajji Alejandro,https://genius.com/artists/Hajji-alejandro,https://assets.genius.com/images/default_avatar_300.png?1491429285
1,798260,Ang Lahat nito'y Para Sa Iyo,https://genius.com/Hajji-alejandro-ang-lahat-nitoy-para-sa-iyo-lyrics,/Hajji-alejandro-ang-lahat-nitoy-para-sa-iyo-lyrics,https://assets.genius.com/images/default_cover_image.png?1491429285,1,,343717,Hajji Alejandro,https://genius.com/artists/Hajji-alejandro,https://assets.genius.com/images/default_avatar_300.png?1491429285
1,1796229,"Tag-Araw, Tag- Ulan",https://genius.com/Hajji-alejandro-tag-araw-tag-ulan-lyrics,/Hajji-alejandro-tag-araw-tag-ulan-lyrics,https://assets.genius.com/images/default_cover_image.png?1491429285,1,,343717,Hajji Alejandro,https://genius.com/artists/Hajji-alejandro,https://assets.genius.com/images/default_avatar_300.png?1491429285
1,1467596,Hajji Baba (Persian Lament),https://genius.com/Nat-king-cole-hajji-baba-persian-lament-lyrics,/Nat-king-cole-hajji-baba-persian-lament-lyrics,https://images.genius.com/e605b4bd368059b58b3f1b7e34cfcc51.904x944x1.jpg,1,,32622,Nat King Cole,https://genius.com/artists/Nat-king-cole,https://images.genius.com/e605b4bd368059b58b3f1b7e34cfcc51.904x944x1.jpg
1,1148851,Hajji Baba,https://genius.com/Nat-king-cole-hajji-baba-lyrics,/Nat-king-cole-hajji-baba-lyrics,https://images.genius.com/e605b4bd368059b58b3f1b7e34cfcc51.904x944x1.jpg,1,,32622,Nat King Cole,https://genius.com/artists/Nat-king-cole,https://images.genius.com/e605b4bd368059b58b3f1b7e34cfcc51.904x944x1.jpg
