page,id,title,url,path,header_image_url,annotation_count,pyongs_count,primaryartist_id,primaryartist_name,primaryartist_url,primaryartist_imageurl
1,2405728,Dat $tick,https://genius.com/Rich-chigga-dat-stick-lyrics,/Rich-chigga-dat-stick-lyrics,https://images.genius.com/200d67d147cbfbea35abafbaa779d1fd.1000x1000x1.jpg,17,58,566912,Rich Chigga,https://genius.com/artists/Rich-chigga,https://images.genius.com/29e5a094abc017a55548b47c9e35c79d.1000x1000x1.jpg
1,2835080,Who That Be,https://genius.com/Rich-chigga-who-that-be-lyrics,/Rich-chigga-who-that-be-lyrics,https://images.genius.com/7f6e4ab39ebf9fbcf6c7306b128c5601.600x600x1.jpg,19,16,566912,Rich Chigga,https://genius.com/artists/Rich-chigga,https://images.genius.com/29e5a094abc017a55548b47c9e35c79d.1000x1000x1.jpg
1,2879905,Dat $tick (Remix),https://genius.com/Rich-chigga-dat-stick-remix-lyrics,/Rich-chigga-dat-stick-remix-lyrics,https://images.genius.com/e082e495705a9ed5dcf246175e241bfb.1000x1000x1.jpg,19,5,566912,Rich Chigga,https://genius.com/artists/Rich-chigga,https://images.genius.com/29e5a094abc017a55548b47c9e35c79d.1000x1000x1.jpg
1,2937304,Seventeen,https://genius.com/Rich-chigga-seventeen-lyrics,/Rich-chigga-seventeen-lyrics,https://images.genius.com/52071e34a8912da5624fe42d76402375.1000x1000x1.jpg,17,10,566912,Rich Chigga,https://genius.com/artists/Rich-chigga,https://images.genius.com/29e5a094abc017a55548b47c9e35c79d.1000x1000x1.jpg
1,204508,Dear Kendrick,https://genius.com/Iman-shumpert-dear-kendrick-lyrics,/Iman-shumpert-dear-kendrick-lyrics,https://images.genius.com/5e8af3622d72c6d1515c7c66b4218569.730x487x1.jpg,36,6,51358,Iman Shumpert,https://genius.com/artists/Iman-shumpert,https://images.genius.com/5e8af3622d72c6d1515c7c66b4218569.730x487x1.jpg
1,2261089,Don't Be So Shy (Filatov & Karas Remix),https://genius.com/Imany-dont-be-so-shy-filatov-and-karas-remix-lyrics,/Imany-dont-be-so-shy-filatov-and-karas-remix-lyrics,https://images.genius.com/8f2cd7759f8f328ec6a470150451a3f1.1000x1000x1.jpg,13,3,49552,Imany,https://genius.com/artists/Imany,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,82754,Energy,https://genius.com/Iman-omari-energy-lyrics,/Iman-omari-energy-lyrics,https://images.genius.com/929061a5c4c25ad156d3b1b72c520324.1000x1000x1.jpg,7,6,18595,Iman Omari,https://genius.com/artists/Iman-omari,https://images.genius.com/d2bd0ca672ac43f2f7c55d0a26638a83.396x493x1.png
1,2308841,Living The Dream,https://genius.com/Rich-chigga-living-the-dream-lyrics,/Rich-chigga-living-the-dream-lyrics,https://images.genius.com/18a45f571ecaa3b8e02ac11a2d33f33b.500x500x1.jpg,6,4,566912,Rich Chigga,https://genius.com/artists/Rich-chigga,https://images.genius.com/29e5a094abc017a55548b47c9e35c79d.1000x1000x1.jpg
1,2800403,Don't Need No Money,https://genius.com/Imani-williams-dont-need-no-money-lyrics,/Imani-williams-dont-need-no-money-lyrics,https://images.genius.com/c2f0ab428cf92ad0d015e6d257e5af7c.1000x1000x1.jpg,1,,960447,Imani Williams,https://genius.com/artists/Imani-williams,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,2153961,"Amen (Pas Imany, mais presque)",https://genius.com/Dinos-amen-pas-imany-mais-presque-lyrics,/Dinos-amen-pas-imany-mais-presque-lyrics,https://images.rapgenius.com/16ff5d40b3ec2fd8d36317f74535112c.620x270x1.jpg,19,3,14806,Dinos,https://genius.com/artists/Dinos,https://images.genius.com/17fc1369cfc26ff83273b4347cc51fd4.400x400x1.jpg
2,2017461,Vers Imany,https://genius.com/Dinos-vers-imany-lyrics,/Dinos-vers-imany-lyrics,https://images.rapgenius.com/59d8817e28e4ffd39375539641c4785e.1000x563x1.jpg,10,1,14806,Dinos,https://genius.com/artists/Dinos,https://images.genius.com/17fc1369cfc26ff83273b4347cc51fd4.400x400x1.jpg
2,1378874,The Offs (Cavs 2015 playoff anthem),https://genius.com/Iman-shumpert-the-offs-cavs-2015-playoff-anthem-lyrics,/Iman-shumpert-the-offs-cavs-2015-playoff-anthem-lyrics,https://images.genius.com/5e8af3622d72c6d1515c7c66b4218569.730x487x1.jpg,20,,51358,Iman Shumpert,https://genius.com/artists/Iman-shumpert,https://images.genius.com/5e8af3622d72c6d1515c7c66b4218569.730x487x1.jpg
2,238672,"Hold On, We're Going Home",https://genius.com/Imaneurope-hold-on-were-going-home-lyrics,/Imaneurope-hold-on-were-going-home-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,4,,156989,ImanEurope,https://genius.com/artists/Imaneurope,https://assets.genius.com/images/default_avatar_300.png?1491928287
2,92462,Midnight,https://genius.com/Iman-omari-midnight-lyrics,/Iman-omari-midnight-lyrics,https://images.genius.com/929061a5c4c25ad156d3b1b72c520324.1000x1000x1.jpg,7,2,18595,Iman Omari,https://genius.com/artists/Iman-omari,https://images.genius.com/d2bd0ca672ac43f2f7c55d0a26638a83.396x493x1.png
2,2352144,The Name Drop,https://genius.com/Iman-shumpert-the-name-drop-lyrics,/Iman-shumpert-the-name-drop-lyrics,https://images.genius.com/5e8af3622d72c6d1515c7c66b4218569.730x487x1.jpg,22,2,51358,Iman Shumpert,https://genius.com/artists/Iman-shumpert,https://images.genius.com/5e8af3622d72c6d1515c7c66b4218569.730x487x1.jpg
2,82752,Take Away,https://genius.com/Iman-omari-take-away-lyrics,/Iman-omari-take-away-lyrics,https://images.genius.com/929061a5c4c25ad156d3b1b72c520324.1000x1000x1.jpg,1,,18595,Iman Omari,https://genius.com/artists/Iman-omari,https://images.genius.com/d2bd0ca672ac43f2f7c55d0a26638a83.396x493x1.png
2,2308840,You // Always,https://genius.com/Rich-chigga-you-always-lyrics,/Rich-chigga-you-always-lyrics,https://images.genius.com/29e5a094abc017a55548b47c9e35c79d.1000x1000x1.jpg,1,,566912,Rich Chigga,https://genius.com/artists/Rich-chigga,https://images.genius.com/29e5a094abc017a55548b47c9e35c79d.1000x1000x1.jpg
2,82751,Worth It,https://genius.com/Iman-omari-worth-it-lyrics,/Iman-omari-worth-it-lyrics,https://images.genius.com/929061a5c4c25ad156d3b1b72c520324.1000x1000x1.jpg,2,1,18595,Iman Omari,https://genius.com/artists/Iman-omari,https://images.genius.com/d2bd0ca672ac43f2f7c55d0a26638a83.396x493x1.png
2,441989,Chiraq,https://genius.com/Iman-shumpert-chiraq-lyrics,/Iman-shumpert-chiraq-lyrics,https://images.genius.com/5e8af3622d72c6d1515c7c66b4218569.730x487x1.jpg,11,1,51358,Iman Shumpert,https://genius.com/artists/Iman-shumpert,https://images.genius.com/5e8af3622d72c6d1515c7c66b4218569.730x487x1.jpg
2,2389799,Build Em,https://genius.com/Iman-shumpert-build-em-lyrics,/Iman-shumpert-build-em-lyrics,https://images.genius.com/5e8af3622d72c6d1515c7c66b4218569.730x487x1.jpg,10,3,51358,Iman Shumpert,https://genius.com/artists/Iman-shumpert,https://images.genius.com/5e8af3622d72c6d1515c7c66b4218569.730x487x1.jpg
3,96002,I'll Do Anything For You,https://genius.com/Iman-omari-ill-do-anything-for-you-annotated,/Iman-omari-ill-do-anything-for-you-annotated,https://images.genius.com/929061a5c4c25ad156d3b1b72c520324.1000x1000x1.jpg,1,1,18595,Iman Omari,https://genius.com/artists/Iman-omari,https://images.genius.com/d2bd0ca672ac43f2f7c55d0a26638a83.396x493x1.png
3,338184,Tribute to His Aunt,https://genius.com/Iman-shumpert-tribute-to-his-aunt-annotated,/Iman-shumpert-tribute-to-his-aunt-annotated,https://images.genius.com/5e8af3622d72c6d1515c7c66b4218569.730x487x1.jpg,14,11,51358,Iman Shumpert,https://genius.com/artists/Iman-shumpert,https://images.genius.com/5e8af3622d72c6d1515c7c66b4218569.730x487x1.jpg
3,90254,Trippin,https://genius.com/Iman-omari-trippin-lyrics,/Iman-omari-trippin-lyrics,https://images.genius.com/d2bd0ca672ac43f2f7c55d0a26638a83.396x493x1.png,1,1,18595,Iman Omari,https://genius.com/artists/Iman-omari,https://images.genius.com/d2bd0ca672ac43f2f7c55d0a26638a83.396x493x1.png
3,2860836,His Story,https://genius.com/Iman-shumpert-his-story-lyrics,/Iman-shumpert-his-story-lyrics,https://images.genius.com/8f1209c90ef9f2872bc01d60f91066ee.335x341x1.png,4,,51358,Iman Shumpert,https://genius.com/artists/Iman-shumpert,https://images.genius.com/5e8af3622d72c6d1515c7c66b4218569.730x487x1.jpg
3,2848373,Glory,https://genius.com/Iman-shumpert-glory-lyrics,/Iman-shumpert-glory-lyrics,https://images.genius.com/1094821ee7d63b53878e8f6b4a2301f1.500x500x1.jpg,2,1,51358,Iman Shumpert,https://genius.com/artists/Iman-shumpert,https://images.genius.com/5e8af3622d72c6d1515c7c66b4218569.730x487x1.jpg
3,1603808,Slow Down,https://genius.com/Imany-slow-down-lyrics,/Imany-slow-down-lyrics,https://images.genius.com/59e6e99f70dba6731a51a1c0779cbf9b.800x800x1.jpg,0,,49552,Imany,https://genius.com/artists/Imany,https://assets.genius.com/images/default_avatar_300.png?1491928287
3,1824057,Try Again by Imany,https://genius.com/Imany-try-again-by-imany-lyrics,/Imany-try-again-by-imany-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,49552,Imany,https://genius.com/artists/Imany,https://assets.genius.com/images/default_avatar_300.png?1491928287
