page,id,title,url,path,header_image_url,annotation_count,pyongs_count,primaryartist_id,primaryartist_name,primaryartist_url,primaryartist_imageurl
1,729472,ビッチのカバンは重い (Bitch No Kaban Ha Omoi),https://genius.com/Kohh-bitch-no-kaban-ha-omoi-lyrics,/Kohh-bitch-no-kaban-ha-omoi-lyrics,https://images.genius.com/9d864673128ccc6021df2021c59ccbe6.1000x1000x1.jpg,2,3,251776,KOHH,https://genius.com/artists/Kohh,https://images.genius.com/3aad4a95fe85b1b4553bbfc4a3b9c11c.640x336x1.png
1,287758,Warrior,https://genius.com/Kabaka-pyramid-warrior-lyrics,/Kabaka-pyramid-warrior-lyrics,https://images.genius.com/c0704c89b431936016ce8d22330e0f38.1000x1000x1.jpg,27,1,25780,Kabaka Pyramid,https://genius.com/artists/Kabaka-pyramid,https://s3.amazonaws.com/rapgenius/Kabaka-Pyramid-Rebel-Music-EP-Recording1.jpg
1,90756,The Sound,https://genius.com/Kabaka-pyramid-the-sound-lyrics,/Kabaka-pyramid-the-sound-lyrics,https://s3.amazonaws.com/rapgenius/Kabaka-Pyramid-Rebel-Music-EP-Recording1.jpg,1,,25780,Kabaka Pyramid,https://genius.com/artists/Kabaka-pyramid,https://s3.amazonaws.com/rapgenius/Kabaka-Pyramid-Rebel-Music-EP-Recording1.jpg
1,691635,Foundation,https://genius.com/Kabaka-pyramid-and-jah-sun-foundation-lyrics,/Kabaka-pyramid-and-jah-sun-foundation-lyrics,https://images.rapgenius.com/1d7f3b4a3d428ee65d154194d0894962.1000x563x1.jpg,1,,323442,Kabaka Pyramid & Jah Sun,https://genius.com/artists/Kabaka-pyramid-and-jah-sun,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,239717,Free From Chains,https://genius.com/Kabaka-pyramid-free-from-chains-lyrics,/Kabaka-pyramid-free-from-chains-lyrics,https://s3.amazonaws.com/rapgenius/Kabaka-Pyramid-Rebel-Music-EP-Recording1.jpg,7,,25780,Kabaka Pyramid,https://genius.com/artists/Kabaka-pyramid,https://s3.amazonaws.com/rapgenius/Kabaka-Pyramid-Rebel-Music-EP-Recording1.jpg
1,526624,Berita Haji,https://genius.com/Kabarmakkah-berita-haji-annotated,/Kabarmakkah-berita-haji-annotated,https://assets.genius.com/images/default_cover_image.png?1491928287,1,2,232561,KabarMakkah,https://genius.com/artists/Kabarmakkah,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,446907,Kabale und Liebe - 1. Szene (1. Akt),https://genius.com/Friedrich-schiller-kabale-und-liebe-1-szene-1-akt-annotated,/Friedrich-schiller-kabale-und-liebe-1-szene-1-akt-annotated,https://images.genius.com/c0f55dfd32b37b6f2089f9aae23299e8.400x400x1.jpg,8,,2219,Friedrich Schiller,https://genius.com/artists/Friedrich-schiller,https://images.genius.com/5ykqz9evchk50llsccd1ckjvq.439x600x1.jpg
1,336133,Ka'Ba,https://genius.com/Amiri-baraka-kaba-annotated,/Amiri-baraka-kaba-annotated,https://images.genius.com/e87abe6dd3921bf63b5ba89191794dfa.200x327x1.jpg,4,,952,Amiri Baraka,https://genius.com/artists/Amiri-baraka,https://images.genius.com/e87abe6dd3921bf63b5ba89191794dfa.200x327x1.jpg
1,2222203,Kabableke,https://genius.com/Serge-beynaud-kabableke-lyrics,/Serge-beynaud-kabableke-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,526353,Serge Beynaud,https://genius.com/artists/Serge-beynaud,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,1308851,La Calle De Las Sirenas,https://genius.com/Kabah-la-calle-de-las-sirenas-lyrics,/Kabah-la-calle-de-las-sirenas-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,354184,Kabah,https://genius.com/artists/Kabah,https://assets.genius.com/images/default_avatar_300.png?1491928287
2,2356619,Liberal Opposer,https://genius.com/Kabaka-pyramid-liberal-opposer-annotated,/Kabaka-pyramid-liberal-opposer-annotated,https://images.genius.com/c0704c89b431936016ce8d22330e0f38.1000x1000x1.jpg,2,,25780,Kabaka Pyramid,https://genius.com/artists/Kabaka-pyramid,https://s3.amazonaws.com/rapgenius/Kabaka-Pyramid-Rebel-Music-EP-Recording1.jpg
2,446910,Kabale und Liebe - 4. Szene (1. Akt),https://genius.com/Friedrich-schiller-kabale-und-liebe-4-szene-1-akt-annotated,/Friedrich-schiller-kabale-und-liebe-4-szene-1-akt-annotated,https://images.genius.com/c0f55dfd32b37b6f2089f9aae23299e8.400x400x1.jpg,2,,2219,Friedrich Schiller,https://genius.com/artists/Friedrich-schiller,https://images.genius.com/5ykqz9evchk50llsccd1ckjvq.439x600x1.jpg
2,2333327,Well Done,https://genius.com/Kabaka-pyramid-well-done-annotated,/Kabaka-pyramid-well-done-annotated,https://images.genius.com/a045cae2effa075f2866e30c3b6a5fe8.700x700x1.jpg,7,,25780,Kabaka Pyramid,https://genius.com/artists/Kabaka-pyramid,https://s3.amazonaws.com/rapgenius/Kabaka-Pyramid-Rebel-Music-EP-Recording1.jpg
2,493053,Donald marzy,https://genius.com/Kabaret-pod-wyrwigroszem-donald-marzy-lyrics,/Kabaret-pod-wyrwigroszem-donald-marzy-lyrics,https://images.genius.com/8fabebac6d0f871d471ed5d4d87e0da0.280x280x1.jpg,2,1,214691,Kabaret pod Wyrwigroszem,https://genius.com/artists/Kabaret-pod-wyrwigroszem,https://images.genius.com/f0239394375a6c95853d6d47568b407d.600x319x1.jpg
2,446908,Kabale und Liebe - 2. Szene (1. Akt),https://genius.com/Friedrich-schiller-kabale-und-liebe-2-szene-1-akt-annotated,/Friedrich-schiller-kabale-und-liebe-2-szene-1-akt-annotated,https://images.genius.com/c0f55dfd32b37b6f2089f9aae23299e8.400x400x1.jpg,8,,2219,Friedrich Schiller,https://genius.com/artists/Friedrich-schiller,https://images.genius.com/5ykqz9evchk50llsccd1ckjvq.439x600x1.jpg
2,2848747,Real and True,https://genius.com/Arta-kabashi-real-and-true-lyrics,/Arta-kabashi-real-and-true-lyrics,https://images.genius.com/204a4f239f40405fdc6fcca749549421.640x640x1.jpg,1,,996502,Arta Kabashi,https://genius.com/artists/Arta-kabashi,https://images.genius.com/204a4f239f40405fdc6fcca749549421.640x640x1.jpg
2,1747455,Buraki,https://genius.com/Kabanos-buraki-lyrics,/Kabanos-buraki-lyrics,https://images.genius.com/c860b9725c0cf21669c5b63904a610f3.500x500x1.jpg,1,,354876,Kabanos,https://genius.com/artists/Kabanos,https://images.genius.com/46b10f6b8a2c132ffa1e9dfc441a7432.515x515x1.jpg
2,1481913,Una Ilusión,https://genius.com/Kabah-una-ilusion-lyrics,/Kabah-una-ilusion-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,354184,Kabah,https://genius.com/artists/Kabah,https://assets.genius.com/images/default_avatar_300.png?1491928287
2,951297,Al Pasar,https://genius.com/Kabah-al-pasar-lyrics,/Kabah-al-pasar-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,354184,Kabah,https://genius.com/artists/Kabah,https://assets.genius.com/images/default_avatar_300.png?1491928287
2,446911,Kabale und Liebe - 5. Szene (1. Akt),https://genius.com/Friedrich-schiller-kabale-und-liebe-5-szene-1-akt-annotated,/Friedrich-schiller-kabale-und-liebe-5-szene-1-akt-annotated,https://images.genius.com/c0f55dfd32b37b6f2089f9aae23299e8.400x400x1.jpg,1,,2219,Friedrich Schiller,https://genius.com/artists/Friedrich-schiller,https://images.genius.com/5ykqz9evchk50llsccd1ckjvq.439x600x1.jpg
3,2848731,Sins,https://genius.com/Arta-kabashi-sins-lyrics,/Arta-kabashi-sins-lyrics,https://images.genius.com/204a4f239f40405fdc6fcca749549421.640x640x1.jpg,8,1,996502,Arta Kabashi,https://genius.com/artists/Arta-kabashi,https://images.genius.com/204a4f239f40405fdc6fcca749549421.640x640x1.jpg
3,446909,Kabale und Liebe - 3. Szene (1. Akt),https://genius.com/Friedrich-schiller-kabale-und-liebe-3-szene-1-akt-annotated,/Friedrich-schiller-kabale-und-liebe-3-szene-1-akt-annotated,https://images.genius.com/c0f55dfd32b37b6f2089f9aae23299e8.400x400x1.jpg,2,,2219,Friedrich Schiller,https://genius.com/artists/Friedrich-schiller,https://images.genius.com/5ykqz9evchk50llsccd1ckjvq.439x600x1.jpg
3,994224,Pancerz,https://genius.com/Kabanos-pancerz-lyrics,/Kabanos-pancerz-lyrics,https://images.genius.com/c860b9725c0cf21669c5b63904a610f3.500x500x1.jpg,1,,354876,Kabanos,https://genius.com/artists/Kabanos,https://images.genius.com/46b10f6b8a2c132ffa1e9dfc441a7432.515x515x1.jpg
