page,id,title,url,path,header_image_url,annotation_count,pyongs_count,primaryartist_id,primaryartist_name,primaryartist_url,primaryartist_imageurl
1,2016843,Nagudriran,https://genius.com/Kafir-nagudriran-lyrics,/Kafir-nagudriran-lyrics,https://images.rapgenius.com/d53febbc71841f192ee19651103ab035.960x444x1.jpg,14,,461095,Kafir,https://genius.com/artists/Kafir,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,359163,Kafir,https://genius.com/Nile-kafir-lyrics,/Nile-kafir-lyrics,https://images.genius.com/6db9ca595a62886e742ccbc2e2b8f4b3.1000x1000x1.jpg,4,,140933,NILE,https://genius.com/artists/Nile,https://images.genius.com/7fd804e6d79b7fd5b8ddcd52b62018e4.750x400x1.jpg
1,2165989,Crn Mercedes,https://genius.com/Kafir-crn-mercedes-lyrics,/Kafir-crn-mercedes-lyrics,https://images.rapgenius.com/df8e71cdeed416fb926b8474019ea9e0.655x419x1.jpg,17,,461095,Kafir,https://genius.com/artists/Kafir,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,2149901,Al Kafiroun / الكافرون,https://genius.com/Al-quran-al-kafiroun-annotated,/Al-quran-al-kafiroun-annotated,https://images.genius.com/0ba1b3e1f951b67449bdc5e2e676fad7.977x1000x1.png,1,,502164,Al-Quran / القرآن,https://genius.com/artists/Al-quran,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,187785,"Arabian Nights,Vol. 2 (Chap. 3)",https://genius.com/Richard-f-burton-arabian-nightsvol-2-chap-3-annotated,/Richard-f-burton-arabian-nightsvol-2-chap-3-annotated,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,60165,Richard F. Burton,https://genius.com/artists/Richard-f-burton,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,2991566,Hedefini Bul,https://genius.com/Sansar-salvo-hedefini-bul-lyrics,/Sansar-salvo-hedefini-bul-lyrics,https://images.genius.com/8c107dc713d17c0a0279a950146484d0.600x600x1.jpg,0,,155777,Sansar Salvo,https://genius.com/artists/Sansar-salvo,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,371122,Alfa i Omega,https://genius.com/Golin-alfa-i-omega-lyrics,/Golin-alfa-i-omega-lyrics,https://images.genius.com/a001fd09b0f1b2c5a7964d0ddef095d6.934x800x1.jpg,35,5,45477,Golin,https://genius.com/artists/Golin,https://s3.amazonaws.com/rapgenius/1374521161_23416532565436734-67658.jpg
1,2404844,12 miejsc,https://genius.com/Golin-12-miejsc-lyrics,/Golin-12-miejsc-lyrics,https://images.rapgenius.com/329c2581ccac45aa1a70b70b5b407663.960x960x1.jpg,24,6,45477,Golin,https://genius.com/artists/Golin,https://s3.amazonaws.com/rapgenius/1374521161_23416532565436734-67658.jpg
1,123139,Bons Baisers du Poste,https://genius.com/Les-sages-poetes-de-la-rue-bons-baisers-du-poste-lyrics,/Les-sages-poetes-de-la-rue-bons-baisers-du-poste-lyrics,https://images.genius.com/9af2cd87838a1a5a68c984ad48510bbe.1000x979x1.jpg,15,1,1970,Les Sages Poètes de la Rue,https://genius.com/artists/Les-sages-poetes-de-la-rue,https://images.genius.com/a6ecdee380aa9015e820d82b0a34104a.294x125x1.jpg
1,159624,Epilogue,https://genius.com/Alex-haley-epilogue-annotated,/Alex-haley-epilogue-annotated,https://s3.amazonaws.com/rapgenius/AutobiographyOfMalcolmX.JPG,1,,43960,Alex Haley,https://genius.com/artists/Alex-haley,https://images.genius.com/35dfced5f9225ac857e48b7f7d45d7fe.190x251x1.jpg
2,173378,Von Bezirk zu Bezirk,https://genius.com/Haftbefehl-von-bezirk-zu-bezirk-lyrics,/Haftbefehl-von-bezirk-zu-bezirk-lyrics,https://images.genius.com/44c356e0695d2787d4877ec498b62700.1000x1000x1.jpg,13,,12452,Haftbefehl,https://genius.com/artists/Haftbefehl,https://images.genius.com/090756ca95cb92229814bfb678a33d09.1000x1000x1.jpg
2,2316744,Masjid,https://genius.com/Deen-squad-masjid-lyrics,/Deen-squad-masjid-lyrics,https://images.genius.com/eb7c0ba50e776cec8ec045d859b02c25.960x960x1.jpg,5,,516695,Deen Squad,https://genius.com/artists/Deen-squad,https://images.genius.com/eb7c0ba50e776cec8ec045d859b02c25.960x960x1.jpg
2,2919970,OOOUUU (HALAL REMIX),https://genius.com/Deen-squad-ooouuu-halal-remix-lyrics,/Deen-squad-ooouuu-halal-remix-lyrics,https://images.genius.com/eb7c0ba50e776cec8ec045d859b02c25.960x960x1.jpg,42,,516695,Deen Squad,https://genius.com/artists/Deen-squad,https://images.genius.com/eb7c0ba50e776cec8ec045d859b02c25.960x960x1.jpg
2,188627,"Arabian Nights, Vol. 7 (Chap. 1)",https://genius.com/Richard-f-burton-arabian-nights-vol-7-chap-1-annotated,/Richard-f-burton-arabian-nights-vol-7-chap-1-annotated,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,60165,Richard F. Burton,https://genius.com/artists/Richard-f-burton,https://assets.genius.com/images/default_avatar_300.png?1491928287
2,2651832,Sahte,https://genius.com/Indigo-sahte-lyrics,/Indigo-sahte-lyrics,https://images.genius.com/e2c418e5fcf50ae5a07cf8cf08771740.512x512x1.jpg,2,2,22770,İndigo,https://genius.com/artists/Indigo,https://assets.genius.com/images/default_avatar_300.png?1491928287
2,188932,"Arabian Nights, Vol. 9 (Chap. 11)",https://genius.com/Richard-f-burton-arabian-nights-vol-9-chap-11-annotated,/Richard-f-burton-arabian-nights-vol-9-chap-11-annotated,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,60165,Richard F. Burton,https://genius.com/artists/Richard-f-burton,https://assets.genius.com/images/default_avatar_300.png?1491928287
2,187676,"Arabian Nights,Vol. 1 (Chap. 6)",https://genius.com/Richard-f-burton-arabian-nightsvol-1-chap-6-annotated,/Richard-f-burton-arabian-nightsvol-1-chap-6-annotated,https://images.genius.com/1b874643d34d20ca06016363e3b4eda4.382x500x1.jpg,1,,60165,Richard F. Burton,https://genius.com/artists/Richard-f-burton,https://assets.genius.com/images/default_avatar_300.png?1491928287
2,188990,"Arabian Nights, Vol. 10 (Chap. 1)",https://genius.com/Richard-f-burton-arabian-nights-vol-10-chap-1-annotated,/Richard-f-burton-arabian-nights-vol-10-chap-1-annotated,https://assets.genius.com/images/default_cover_image.png?1491928287,2,,60165,Richard F. Burton,https://genius.com/artists/Richard-f-burton,https://assets.genius.com/images/default_avatar_300.png?1491928287
2,2291181,Sunnah Boys,https://genius.com/Freeway-and-the-jacka-sunnah-boys-lyrics,/Freeway-and-the-jacka-sunnah-boys-lyrics,https://images.genius.com/d406a1917e8ee4816045457b2af26633.800x800x1.jpg,12,,556404,Freeway & The Jacka,https://genius.com/artists/Freeway-and-the-jacka,https://assets.genius.com/images/default_avatar_300.png?1491928287
2,247990,Touche pas à mon frérot,https://genius.com/Canardo-touche-pas-a-mon-frerot-lyrics,/Canardo-touche-pas-a-mon-frerot-lyrics,https://images.genius.com/c584da9051ee83c618024ea578860224.600x601x1.jpg,4,,11648,Canardo,https://genius.com/artists/Canardo,https://images.genius.com/43ae5bd419b5b924f05bc89f844e72a4.1000x569x1.jpg
3,2255927,Murembo okamung`unyene,https://genius.com/Keyverse-murembo-okamungunyene-lyrics,/Keyverse-murembo-okamungunyene-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,537217,Keyverse,https://genius.com/artists/Keyverse,https://assets.genius.com/images/default_avatar_300.png?1491928287
3,2310757,"""Shikwa"" A Muslim's complaint to Allah",https://genius.com/Mohammed-allama-iqbals-translation-in-english-prose-by-shahina-ghiasuddin-shikwa-a-muslims-complaint-to-allah-annotated,/Mohammed-allama-iqbals-translation-in-english-prose-by-shahina-ghiasuddin-shikwa-a-muslims-complaint-to-allah-annotated,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,568165,Mohammed Allama Iqbal's; Translation in English prose by Shahina Ghiasuddin,https://genius.com/artists/Mohammed-allama-iqbals-translation-in-english-prose-by-shahina-ghiasuddin,https://assets.genius.com/images/default_avatar_300.png?1491928287
3,2942729,Lil Uzi Vert - Enemies,https://genius.com/Genius-turkey-translations-lil-uzi-vert-enemies-lyrics,/Genius-turkey-translations-lil-uzi-vert-enemies-lyrics,https://images.genius.com/5cab3ec2fe602dd3f4d7c68cca53205e.680x440x1.jpg,1,,569121,Genius Turkey Translations,https://genius.com/artists/Genius-turkey-translations,https://images.genius.com/ff9da92c9a4e318fec267eed5899cf0b.750x750x1.png
3,2257113,What a Rich Old White Guy Would Like You to Do When He is Dead,https://genius.com/Graham-mcintosh-what-a-rich-old-white-guy-would-like-you-to-do-when-he-is-dead-annotated,/Graham-mcintosh-what-a-rich-old-white-guy-would-like-you-to-do-when-he-is-dead-annotated,https://assets.genius.com/images/default_cover_image.png?1491928287,3,,537919,Graham McIntosh,https://genius.com/artists/Graham-mcintosh,https://assets.genius.com/images/default_avatar_300.png?1491928287
3,502881,The Religious System Of The Amazulu - Part 1 Creation Story,https://genius.com/Henry-callaway-the-religious-system-of-the-amazulu-part-1-creation-story-annotated,/Henry-callaway-the-religious-system-of-the-amazulu-part-1-creation-story-annotated,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,220678,Henry Callaway,https://genius.com/artists/Henry-callaway,https://assets.genius.com/images/default_avatar_300.png?1491928287
3,474785,BÓG O GŁOSIE DIABŁA REMIX,https://genius.com/Flipson-bog-o-gosie-diaba-remix-lyrics,/Flipson-bog-o-gosie-diaba-remix-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,8,,203685,Flipson,https://genius.com/artists/Flipson,https://assets.genius.com/images/default_avatar_300.png?1491928287
3,188228,"Arabian Nights, Vol. 4 (Chap. 21)",https://genius.com/Richard-f-burton-arabian-nights-vol-4-chap-21-annotated,/Richard-f-burton-arabian-nights-vol-4-chap-21-annotated,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,60165,Richard F. Burton,https://genius.com/artists/Richard-f-burton,https://assets.genius.com/images/default_avatar_300.png?1491928287
3,719574,La N'olur?,https://genius.com/Aga-b-la-nolur-lyrics,/Aga-b-la-nolur-lyrics,https://images.genius.com/315eef95036cd18453cc85a202f91f53.600x600x1.jpg,3,,334353,Aga B,https://genius.com/artists/Aga-b,https://assets.genius.com/images/default_avatar_300.png?1491928287
3,435145,The Man Who Would Be King,https://genius.com/Rudyard-kipling-the-man-who-would-be-king-annotated,/Rudyard-kipling-the-man-who-would-be-king-annotated,https://s3.amazonaws.com/rapgenius/220px-Kipling_nd.jpg,1,,11460,Rudyard Kipling,https://genius.com/artists/Rudyard-kipling,https://s3.amazonaws.com/rapgenius/220px-Kipling_nd.jpg
3,2481648,Soğuk Mevsim,https://genius.com/Massaka36-soguk-mevsim-lyrics,/Massaka36-soguk-mevsim-lyrics,https://images.genius.com/dc7e3cdaafebd57a8e0d0cd9838e751f.742x746x1.jpg,0,,23637,Massaka36,https://genius.com/artists/Massaka36,https://assets.genius.com/images/default_avatar_300.png?1491928287
4,187817,"Arabian Nights,Vol. 2 (Chap. 3.1.1)",https://genius.com/Richard-f-burton-arabian-nightsvol-2-chap-311-annotated,/Richard-f-burton-arabian-nightsvol-2-chap-311-annotated,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,60165,Richard F. Burton,https://genius.com/artists/Richard-f-burton,https://assets.genius.com/images/default_avatar_300.png?1491928287
4,2833081,Flair,https://genius.com/Nimmy-flair-lyrics,/Nimmy-flair-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,0,,987259,Nimmy,https://genius.com/artists/Nimmy,https://assets.genius.com/images/default_avatar_300.png?1491928287
4,554289,Darwin Revisited,https://genius.com/Simon-g-sheppard-darwin-revisited-annotated,/Simon-g-sheppard-darwin-revisited-annotated,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,247942,Simon G. Sheppard,https://genius.com/artists/Simon-g-sheppard,https://assets.genius.com/images/default_avatar_300.png?1491928287
4,2406635,Cubbeli Ahmete Mehmet Emin Akindan Cevap,https://genius.com/Mahmut-abat-cubbeli-ahmete-mehmet-emin-akindan-cevap-annotated,/Mahmut-abat-cubbeli-ahmete-mehmet-emin-akindan-cevap-annotated,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,630142,Mahmut Abat,https://genius.com/artists/Mahmut-abat,https://assets.genius.com/images/default_avatar_300.png?1491928287
4,2858836,Remember My Name,https://genius.com/Sammy-kabel-remember-my-name-lyrics,/Sammy-kabel-remember-my-name-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,0,,1002326,Sammy Kabel,https://genius.com/artists/Sammy-kabel,https://assets.genius.com/images/default_avatar_300.png?1491928287
4,2446967,Tere Ishq Ki Intehaa Chahta Hoon,https://genius.com/Ustad-rahat-fateh-ali-khan-tere-ishq-ki-intehaa-chahta-hoon-annotated,/Ustad-rahat-fateh-ali-khan-tere-ishq-ki-intehaa-chahta-hoon-annotated,https://images.rapgenius.com/ea7ecda10499cca1fdd4b9500b788f6a.500x500x1.jpg,0,,652272,Ustad Rahat Fateh Ali Khan,https://genius.com/artists/Ustad-rahat-fateh-ali-khan,https://assets.genius.com/images/default_avatar_300.png?1491928287
4,187682,"Arabian Nights,Vol. 1 (Chap. 7.1)",https://genius.com/Richard-f-burton-arabian-nightsvol-1-chap-71-annotated,/Richard-f-burton-arabian-nightsvol-1-chap-71-annotated,https://images.genius.com/1b874643d34d20ca06016363e3b4eda4.382x500x1.jpg,1,,60165,Richard F. Burton,https://genius.com/artists/Richard-f-burton,https://assets.genius.com/images/default_avatar_300.png?1491928287
4,811653,Bring Islam Back,https://genius.com/Soldiers-of-allah-bring-islam-back-lyrics,/Soldiers-of-allah-bring-islam-back-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,350819,Soldiers Of Allah,https://genius.com/artists/Soldiers-of-allah,https://assets.genius.com/images/default_avatar_300.png?1491928287
4,708163,Szewcy - Akt III,https://genius.com/Stanisaw-ignacy-witkiewicz-szewcy-akt-iii-annotated,/Stanisaw-ignacy-witkiewicz-szewcy-akt-iii-annotated,https://images.genius.com/d0de651d243bdbb52dee902ab10184a1.381x550x1.jpg,1,,322865,Stanisław Ignacy Witkiewicz,https://genius.com/artists/Stanisaw-ignacy-witkiewicz,https://assets.genius.com/images/default_avatar_300.png?1491928287
4,2032051,Buck Shots,https://genius.com/Uzi-buck-shots-lyrics,/Uzi-buck-shots-lyrics,https://images.genius.com/f7abb70e5e8571301bc23446cc1fe79c.900x901x1.jpg,1,,10806,Uzi,https://genius.com/artists/Uzi,https://images.genius.com/bce32b37535ea4363f9b2c45bc11c84c.290x290x1.jpg
5,714584,Kimdedir?,https://genius.com/Fuat-kimdedir-lyrics,/Fuat-kimdedir-lyrics,https://images.genius.com/5607c88d85e42cd103931e7f606df1ee.500x750x1.jpg,3,,128040,Fuat,https://genius.com/artists/Fuat,https://images.genius.com/5607c88d85e42cd103931e7f606df1ee.500x750x1.jpg
5,493703,Rachid et Goliath,https://genius.com/Sheryo-rachid-et-goliath-lyrics,/Sheryo-rachid-et-goliath-lyrics,https://s3.amazonaws.com/rapgenius/SHERYO-2-DOWN-WITH-THIS-%C2%A9-Aurore-Vinot2.jpg,4,,16416,Sheryo,https://genius.com/artists/Sheryo,https://s3.amazonaws.com/rapgenius/SHERYO-2-DOWN-WITH-THIS-%C2%A9-Aurore-Vinot2.jpg
5,462664,Skor,https://genius.com/Da-poet-and-patron-skor-lyrics,/Da-poet-and-patron-skor-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,2,,195902,Da Poet & Patron,https://genius.com/artists/Da-poet-and-patron,https://assets.genius.com/images/default_avatar_300.png?1491928287
5,2406623,Mehmet Emin Akin Sozleri,https://genius.com/Mahmut-abat-mehmet-emin-akin-sozleri-annotated,/Mahmut-abat-mehmet-emin-akin-sozleri-annotated,https://i.genius.com/65498d1037b8c52ec4a4c7c212d68aba21342cdf?url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DhcdfT2B4Fso,1,,630142,Mahmut Abat,https://genius.com/artists/Mahmut-abat,https://assets.genius.com/images/default_avatar_300.png?1491928287
5,188591,"Arabian Nights, Vol. 6 (Chap. 5)",https://genius.com/Richard-f-burton-arabian-nights-vol-6-chap-5-annotated,/Richard-f-burton-arabian-nights-vol-6-chap-5-annotated,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,60165,Richard F. Burton,https://genius.com/artists/Richard-f-burton,https://assets.genius.com/images/default_avatar_300.png?1491928287
