page,id,title,url,path,header_image_url,annotation_count,pyongs_count,primaryartist_id,primaryartist_name,primaryartist_url,primaryartist_imageurl
1,2289949,Koran,https://genius.com/Laibach-koran-lyrics,/Laibach-koran-lyrics,https://images.genius.com/d530605085bcb01b6503a14d8efc0c53.1000x1000x1.jpg,1,,28889,Laibach,https://genius.com/artists/Laibach,https://images.genius.com/bf6a6fb28b25b3875ba3338305465f95.550x322x1.jpg
1,993079,Korantenig,https://genius.com/Tri-yann-korantenig-lyrics,/Tri-yann-korantenig-lyrics,https://images.genius.com/59da6c35305681abd7ad79f31480ffa2.988x1000x1.jpg,1,,354081,Tri Yann,https://genius.com/artists/Tri-yann,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,2266994,The Mankind - Koran (Chapter 114),https://genius.com/Allah-the-mankind-koran-chapter-114-annotated,/Allah-the-mankind-koran-chapter-114-annotated,https://assets.genius.com/images/default_cover_image.png?1491928287,3,,261351,Allah,https://genius.com/artists/Allah,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,841162,Fata Morgana,https://genius.com/Kc-rebell-fata-morgana-lyrics,/Kc-rebell-fata-morgana-lyrics,https://images.genius.com/a4aebec4847acedda8d3a663fd074865.1000x1000x1.jpg,17,26,20442,KC Rebell,https://genius.com/artists/Kc-rebell,https://images.genius.com/c3545ba6a58280c7e4634445b1ea93b9.1000x667x1.jpg
1,76660,Song of Myself,https://genius.com/Walt-whitman-song-of-myself-annotated,/Walt-whitman-song-of-myself-annotated,https://s3.amazonaws.com/rapgenius/leaves-of-grass-1855.jpg,207,53,1080,Walt Whitman,https://genius.com/artists/Walt-whitman,https://s3.amazonaws.com/rapgenius/walt-whitman-1.jpg
1,2295346,Chronik III,https://genius.com/Selfmade-records-chronik-iii-lyrics,/Selfmade-records-chronik-iii-lyrics,https://images.rapgenius.com/86ec0845c5b34f654eca6e42cb3b8c8f.600x600x1.jpg,57,17,46636,Selfmade Records,https://genius.com/artists/Selfmade-records,https://images.genius.com/5cc7e57c158ffc194d9b0be1ab6d6cfa.500x500x1.png
1,186201,Da geht was,https://genius.com/Kiz-da-geht-was-lyrics,/Kiz-da-geht-was-lyrics,https://images.genius.com/9aaec7837219dfecac8666e568a51db6.1000x1000x1.jpg,27,4,1304,K.I.Z.,https://genius.com/artists/Kiz,https://images.genius.com/ed11667c5e6a61b1b60c3a2cde43f26d.640x640x1.jpg
1,54661,Köln Kalk Ehrenmord,https://genius.com/Eko-fresh-koln-kalk-ehrenmord-lyrics,/Eko-fresh-koln-kalk-ehrenmord-lyrics,https://s3.amazonaws.com/rapgenius/ekrem-cover1-300x300.jpg,29,2,12455,Eko Fresh,https://genius.com/artists/Eko-fresh,https://images.genius.com/6af0d023f12750839c86675eb477af97.1000x1000x1.jpg
1,477635,Eenmans,https://genius.com/Ismo-eenmans-lyrics,/Ismo-eenmans-lyrics,https://images.rapgenius.com/a9fea41b39b26626ef717148e0bc504d.1000x531x1.png,9,12,73155,Ismo,https://genius.com/artists/Ismo,https://images.genius.com/a9fea41b39b26626ef717148e0bc504d.1000x531x1.png
1,66703,Lebenslang,https://genius.com/Genetikk-lebenslang-lyrics,/Genetikk-lebenslang-lyrics,https://s3.amazonaws.com/rapgenius/1375356431_Voodoozirkus_-_Cover.jpg,22,3,15329,Genetikk,https://genius.com/artists/Genetikk,https://images.genius.com/59b4056f5dfea2f1e020f2f71ce1385a.900x600x1.jpg
2,622858,P0K0RA,https://genius.com/Zabson-p0k0ra-lyrics,/Zabson-p0k0ra-lyrics,https://images.rapgenius.com/230bac8e2224c50c55e9dec21167e6c0.1000x409x1.jpg,19,2,84456,Żabson,https://genius.com/artists/Zabson,https://images.genius.com/75fb51c5abf8ee81290fd0b81ffd8c40.473x267x30.gif
2,521128,Mafia Musik,https://genius.com/Summer-cem-mafia-musik-lyrics,/Summer-cem-mafia-musik-lyrics,https://images.genius.com/2e34aa17bf84a6b62410214f88a5521c.1000x1000x1.jpg,17,11,12078,Summer Cem,https://genius.com/artists/Summer-cem,https://images.genius.com/bfeaa6d9bb862766e0f2e8778eb2ddcf.424x424x1.jpg
2,292961,Czuć luz,https://genius.com/Adm-czuc-luz-lyrics,/Adm-czuc-luz-lyrics,https://images.rapgenius.com/df63c587c311e19eecedcf58aae39761.846x392x1.jpg,35,5,60086,ADM,https://genius.com/artists/Adm,https://images.genius.com/14537e23b421c065d698b59ec70fc399.492x492x1.jpg
2,200345,JBB 2013 - SpongeBOZZ vs Gio (Finale RR),https://genius.com/Spongebozz-jbb-2013-spongebozz-vs-gio-finale-rr-lyrics,/Spongebozz-jbb-2013-spongebozz-vs-gio-finale-rr-lyrics,https://images.genius.com/f10b0a975acf10fd4bfba88efbb014aa.1000x561x1.jpg,22,8,43254,SpongeBOZZ,https://genius.com/artists/Spongebozz,https://images.genius.com/94762503760adea599606172578b8613.508x508x1.jpg
2,6248,Jungle,https://genius.com/Andre-nickatina-jungle-lyrics,/Andre-nickatina-jungle-lyrics,https://s3.amazonaws.com/rapgenius/220px-Midnight_Machine_Guns.jpg,27,5,814,Andre Nickatina,https://genius.com/artists/Andre-nickatina,https://images.genius.com/30399c0689175fdf94bfe8a20fa5c66d.500x500x1.jpg
2,6182,G.O.D. (Gaining One's Definition),https://genius.com/Common-god-gaining-ones-definition-lyrics,/Common-god-gaining-ones-definition-lyrics,https://s3.amazonaws.com/rapgenius/220px-OneDayMakeSense.jpg,42,5,223,Common,https://genius.com/artists/Common,https://images.genius.com/334bd07941665eb5b381fb51bced319d.1000x1000x1.jpg
2,2372585,Tissue,https://genius.com/Imtiaz-dharker-tissue-annotated,/Imtiaz-dharker-tissue-annotated,https://images.genius.com/fc69ceaff623d56fd49ebd2ef370b091.370x258x1.jpg,25,6,183242,Imtiaz Dharker,https://genius.com/artists/Imtiaz-dharker,https://images.genius.com/fc69ceaff623d56fd49ebd2ef370b091.370x258x1.jpg
2,885,Wordsmith,https://genius.com/Chino-xl-wordsmith-lyrics,/Chino-xl-wordsmith-lyrics,https://images.rapgenius.com/f40895c66a5b48c62319f0e88f524836.220x219x1.jpg,65,2,487,Chino XL,https://genius.com/artists/Chino-xl,https://s3.amazonaws.com/rapgenius/1315673508_chino-xl.jpg
2,725801,Nie będziemy kolegami,https://genius.com/Eripe-nie-bedziemy-kolegami-lyrics,/Eripe-nie-bedziemy-kolegami-lyrics,https://images.rapgenius.com/749b396a63e39d1b5f935c8c93e99503.850x477x1.jpg,25,4,32607,Eripe,https://genius.com/artists/Eripe,https://images.genius.com/5964e16942e5691120c609c25ff024e9.500x281x15.gif
2,472208,I•M•A•M,https://genius.com/Silvana-imam-imam-lyrics,/Silvana-imam-imam-lyrics,https://images.genius.com/e31a4a67e7c9f37d87c6c5049eb9a31e.600x600x1.jpg,25,,128471,Silvana Imam,https://genius.com/artists/Silvana-imam,https://images.genius.com/d1548f40c71c8668d612e019e315d69f.500x357x1.jpg
3,419277,Fantasmagorie,https://genius.com/Filipek-fantasmagorie-lyrics,/Filipek-fantasmagorie-lyrics,https://images.genius.com/7676bd466288aca0a53b16c403e6f087.685x697x1.jpg,43,3,175450,Filipek,https://genius.com/artists/Filipek,https://images.genius.com/49908364223a9aa796bb28a2a2ceac28.300x200x1.jpg
3,87544,Haraam,https://genius.com/Sean-price-haraam-lyrics,/Sean-price-haraam-lyrics,https://images.genius.com/e5e8f1bb7082736aae2f45b5f22bc340.800x800x1.jpg,23,,162,Sean Price,https://genius.com/artists/Sean-price,https://s3.amazonaws.com/rapgenius/SeanPrice2.jpg
3,30432,Concrete Jungle (Remix),https://genius.com/Bob-marley-concrete-jungle-remix-lyrics,/Bob-marley-concrete-jungle-remix-lyrics,https://images.genius.com/3524c358ce64ace1e68da1042e579e70.1000x990x1.jpg,25,2,922,Bob Marley,https://genius.com/artists/Bob-marley,https://s3.amazonaws.com/rapgenius/young-bob-marley.bmp
3,72004,Going Through the Motions,https://genius.com/Joe-budden-going-through-the-motions-lyrics,/Joe-budden-going-through-the-motions-lyrics,https://images.genius.com/1c6cca89e94f048aa87d9d074c223e4c.421x421x1.jpg,6,,179,Joe Budden,https://genius.com/artists/Joe-budden,https://images.genius.com/1c6cca89e94f048aa87d9d074c223e4c.421x421x1.jpg
3,378973,La belle epoque,https://genius.com/Kent-la-belle-epoque-lyrics,/Kent-la-belle-epoque-lyrics,https://images.genius.com/749284f60e6c5e4b7b33dbbea3c24ba6.500x500x1.jpg,20,1,133596,Kent,https://genius.com/artists/Kent,https://images.genius.com/7f0947bc4230627f50fe814be2eb5dfa.772x772x1.jpg
3,86892,PoRich vs Dizaster (Title Match),https://genius.com/King-of-the-dot-porich-vs-dizaster-title-match-lyrics,/King-of-the-dot-porich-vs-dizaster-title-match-lyrics,https://images.rapgenius.com/8e28cf526b398c6cfd317a96c09b0a31.1000x520x1.jpg,3,,117146,King of the Dot,https://genius.com/artists/King-of-the-dot,https://images.genius.com/4cc36450de3b25a82183c9a1876caff9.900x900x1.jpg
3,141603,Debout les braves,https://genius.com/Iam-debout-les-braves-lyrics,/Iam-debout-les-braves-lyrics,https://images.genius.com/3538fa502bdfcbb4bafd930e53ddc9d9.953x960x1.jpg,40,6,1770,IAM,https://genius.com/artists/Iam,https://s3.amazonaws.com/filepicker-images-rapgenius/aKrF4abnSrWoaDSEV2KW_iam-ip_9.jpg
3,94331,Kingdom Crusher,https://genius.com/Vinnie-paz-kingdom-crusher-lyrics,/Vinnie-paz-kingdom-crusher-lyrics,https://images.genius.com/d3475b9836bf370c3797190ad070da1a.1000x1000x1.jpg,12,,319,Vinnie Paz,https://genius.com/artists/Vinnie-paz,https://s3.amazonaws.com/rapgenius/1360614291_50605699.jpg
3,76501,Aisha,https://genius.com/Summer-cem-aisha-lyrics,/Summer-cem-aisha-lyrics,https://images.genius.com/72cdc51176f96729b3745fbff9def489.400x399x1.jpg,2,,12078,Summer Cem,https://genius.com/artists/Summer-cem,https://images.genius.com/bfeaa6d9bb862766e0f2e8778eb2ddcf.424x424x1.jpg
3,2415565,Kranke Welt,https://genius.com/Pillath-kranke-welt-lyrics,/Pillath-kranke-welt-lyrics,https://images.genius.com/235383a046c6b331bbd3e264e46f803c.960x960x1.jpg,9,,37910,Pillath,https://genius.com/artists/Pillath,https://images.genius.com/11c191da4eb13d5d25f49b0b88280ff9.500x333x1.jpg
4,2292459,Tagträume,https://genius.com/Dame-tagtraume-lyrics,/Dame-tagtraume-lyrics,https://images.genius.com/922044f41150c6bb22e96a8941a8396f.720x642x1.jpg,14,1,26054,Dame,https://genius.com/artists/Dame,https://images.genius.com/5c881de245a6f0bb1dafb1edbd0e46f8.570x300x1.jpg
