page,id,title,url,path,header_image_url,annotation_count,pyongs_count,primaryartist_id,primaryartist_name,primaryartist_url,primaryartist_imageurl
1,480455,Sermon at Grand Mosque of Mosul,https://genius.com/Caliph-ibrahim-sermon-at-grand-mosque-of-mosul-annotated,/Caliph-ibrahim-sermon-at-grand-mosque-of-mosul-annotated,https://images.rapgenius.com/86fcff552c710d1694cedd3910f07660.560x331x1.jpg,1,,207536,Caliph Ibrahim,https://genius.com/artists/Caliph-ibrahim,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,2241477,Cris De Bosnie - feat. Le Silence Des Mosquées,https://genius.com/Kenza-farah-cris-de-bosnie-feat-le-silence-des-mosquees-lyrics,/Kenza-farah-cris-de-bosnie-feat-le-silence-des-mosquees-lyrics,https://images.genius.com/0a33e232abe7690ec7ca4f43f9ef71ac.950x950x1.jpg,1,,20616,Kenza Farah,https://genius.com/artists/Kenza-farah,https://images.genius.com/0a33e232abe7690ec7ca4f43f9ef71ac.950x950x1.jpg
1,431348,Ground Zero Mosque To Move?,https://genius.com/David-weiner-ground-zero-mosque-to-move-annotated,/David-weiner-ground-zero-mosque-to-move-annotated,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,181587,David Weiner,https://genius.com/artists/David-weiner,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,2462654,Build a Mosque,https://genius.com/Jonny-5-build-a-mosque-lyrics,/Jonny-5-build-a-mosque-lyrics,https://images.genius.com/e3b6704c5c4e69bbb04d1c2a2cc5c221.612x609x1.jpg,8,,17250,Jonny 5,https://genius.com/artists/Jonny-5,https://images.genius.com/b48ba1b3520745e9e7a390f0de39629c.360x360x1.jpg
1,1630174,Imam Bey's Mosque,https://genius.com/Charming-hostess-imam-beys-mosque-lyrics,/Charming-hostess-imam-beys-mosque-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,343837,Charming Hostess,https://genius.com/artists/Charming-hostess,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,243234,Statement on Rihanna Being Banned from Abu Dhabi Mosque,https://genius.com/Sheikh-zayed-grand-mosque-centre-statement-on-rihanna-being-banned-from-abu-dhabi-mosque-annotated,/Sheikh-zayed-grand-mosque-centre-statement-on-rihanna-being-banned-from-abu-dhabi-mosque-annotated,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,80931,Sheikh Zayed Grand Mosque Centre,https://genius.com/artists/Sheikh-zayed-grand-mosque-centre,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,223653,Churches Mosques and Temples,https://genius.com/Gajanan-mishra-churches-mosques-and-temples-annotated,/Gajanan-mishra-churches-mosques-and-temples-annotated,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,71594,Gajanan Mishra,https://genius.com/artists/Gajanan-mishra,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,2085520,Istanbul - the blue mosque,https://genius.com/Alexandre-desplat-istanbul-the-blue-mosque-lyrics,/Alexandre-desplat-istanbul-the-blue-mosque-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,348999,Alexandre Desplat,https://genius.com/artists/Alexandre-desplat,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,2053984,Mosquetera,https://genius.com/Rafa-pons-mosquetera-lyrics,/Rafa-pons-mosquetera-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,372035,Rafa Pons,https://genius.com/artists/Rafa-pons,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,1431180,Dynamite the Mosque,https://genius.com/Insulters-dynamite-the-mosque-lyrics,/Insulters-dynamite-the-mosque-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,371897,Insulters,https://genius.com/artists/Insulters,https://assets.genius.com/images/default_avatar_300.png?1491928287
2,1142058,Remnants of a Burnt Mosque,https://genius.com/The-weapon-remnants-of-a-burnt-mosque-lyrics,/The-weapon-remnants-of-a-burnt-mosque-lyrics,https://images.genius.com/4832d1bbbf831a8688d474d357113039.384x353x1.jpg,1,,44651,The Weapon,https://genius.com/artists/The-weapon,https://assets.genius.com/images/default_avatar_300.png?1491928287
2,2333813,Cris de Bosnie,https://genius.com/Kenza-farah-cris-de-bosnie-lyrics,/Kenza-farah-cris-de-bosnie-lyrics,https://images.genius.com/dbeb153ef3ca224b622b9c5f1a796437.400x397x1.jpg,1,1,20616,Kenza Farah,https://genius.com/artists/Kenza-farah,https://images.genius.com/0a33e232abe7690ec7ca4f43f9ef71ac.950x950x1.jpg
