page,id,title,url,path,header_image_url,annotation_count,pyongs_count,primaryartist_id,primaryartist_name,primaryartist_url,primaryartist_imageurl
1,672649,1. Murtala Muhammed,https://genius.com/Mojeed-1-murtala-muhammed-lyrics,/Mojeed-1-murtala-muhammed-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,69201,Mojeed,https://genius.com/artists/Mojeed,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,605803,No Suppress,https://genius.com/Muhammed-naser-no-suppress-lyrics,/Muhammed-naser-no-suppress-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,280792,Muhammed Naser,https://genius.com/artists/Muhammed-naser,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,2420528,Linden,https://genius.com/Jesus-muhammed-linden-lyrics,/Jesus-muhammed-linden-lyrics,https://images.rapgenius.com/62adfb0706b5331f1743abc3b22bbca6.960x960x1.jpg,0,,485260,Jesus Muhammed,https://genius.com/artists/Jesus-muhammed,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,2848949,Esned Dahrak,https://genius.com/Muhammed-ragab-esned-dahrak-lyrics,/Muhammed-ragab-esned-dahrak-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,0,1,996647,Muhammed Ragab,https://genius.com/artists/Muhammed-ragab,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,1993677,In Zaire (Muhammed Ali),https://genius.com/Johnny-wakelin-in-zaire-muhammed-ali-lyrics,/Johnny-wakelin-in-zaire-muhammed-ali-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,388999,Johnny Wakelin,https://genius.com/artists/Johnny-wakelin,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,2924969,Markeb Mkasr,https://genius.com/Muhammed-ragab-markeb-mkasr-lyrics,/Muhammed-ragab-markeb-mkasr-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,0,,996647,Muhammed Ragab,https://genius.com/artists/Muhammed-ragab,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,2864261,Denya w Bas,https://genius.com/Muhammed-ragab-denya-w-bas-lyrics,/Muhammed-ragab-denya-w-bas-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,0,,996647,Muhammed Ragab,https://genius.com/artists/Muhammed-ragab,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,2102652,Boy In A Bubble,https://genius.com/Jesus-muhammed-boy-in-a-bubble-lyrics,/Jesus-muhammed-boy-in-a-bubble-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,485260,Jesus Muhammed,https://genius.com/artists/Jesus-muhammed,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,1727903,Muhammed Ali,https://genius.com/Faithless-muhammed-ali-lyrics,/Faithless-muhammed-ali-lyrics,https://s3.amazonaws.com/rapgenius/faithless.jpg,1,,19002,Faithless,https://genius.com/artists/Faithless,https://s3.amazonaws.com/rapgenius/faithless.jpg
1,1484574,Tinseltown to the Boogiedown (Ali Shaheed Muhammed Variation),https://genius.com/Scritti-politti-tinseltown-to-the-boogiedown-ali-shaheed-muhammed-variation-lyrics,/Scritti-politti-tinseltown-to-the-boogiedown-ali-shaheed-muhammed-variation-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,8298,Scritti Politti,https://genius.com/artists/Scritti-politti,https://assets.genius.com/images/default_avatar_300.png?1491928287
2,2882035,Thinkin Bout You,https://genius.com/Robert-glasper-experiment-thinkin-bout-you-lyrics,/Robert-glasper-experiment-thinkin-bout-you-lyrics,https://images.genius.com/2ac74e81b7fe385ad20beea0e27eb0b0.620x620x1.jpg,0,,73239,Robert Glasper Experiment,https://genius.com/artists/Robert-glasper-experiment,https://images.genius.com/8p3d0ul6pis62k1vnkzgsmym9.650x325x1.jpg
2,145557,Why I Hate School But Love Education,https://genius.com/Suli-breaks-why-i-hate-school-but-love-education-annotated,/Suli-breaks-why-i-hate-school-but-love-education-annotated,https://s3.amazonaws.com/rapgenius/suli-breaks_suli-amoako.jpg,58,68,38401,Suli Breaks,https://genius.com/artists/Suli-breaks,https://s3.amazonaws.com/rapgenius/suli-breaks_suli-amoako.jpg
2,217104,Black Grammys,https://genius.com/Wale-black-grammys-lyrics,/Wale-black-grammys-lyrics,https://s3.amazonaws.com/rapgenius/2InJ9Nh.jpg,95,17,396,Wale,https://genius.com/artists/Wale,https://images.genius.com/e0cde0eabe61c1ddca97cce2386792d2.421x421x1.jpg
2,368634,Bars of Clout,https://genius.com/Lil-jay-bars-of-clout-lyrics,/Lil-jay-bars-of-clout-lyrics,https://images.genius.com/a44b645b2fad339ab033c56bb1289449.300x169x1.jpg,54,42,10270,Lil' Jay,https://genius.com/artists/Lil-jay,https://images.genius.com/a44b645b2fad339ab033c56bb1289449.450x253x19.gif
2,530434,100,https://genius.com/Summer-cem-100-lyrics,/Summer-cem-100-lyrics,https://images.rapgenius.com/1fd607d6a1f8f2b159be47b562391d8f.852x358x1.jpg,25,10,12078,Summer Cem,https://genius.com/artists/Summer-cem,https://images.genius.com/bfeaa6d9bb862766e0f2e8778eb2ddcf.424x424x1.jpg
2,393345,Who Taught You to Hate Yourself?,https://genius.com/Malcolm-x-who-taught-you-to-hate-yourself-annotated,/Malcolm-x-who-taught-you-to-hate-yourself-annotated,https://images.rapgenius.com/5c8f11893364eb80ee87df6c75a35d16.594x478x1.jpg,20,82,12037,Malcolm X,https://genius.com/artists/Malcolm-x,https://s3.amazonaws.com/rapgenius/1359822732_Malcolm-X-9396195-1-402.jpg
2,354864,Holocaust,https://genius.com/Ceza-holocaust-lyrics,/Ceza-holocaust-lyrics,https://images.genius.com/16e325acd8e3b6353684d38c2642c2bf.800x800x1.jpg,12,11,11586,Ceza,https://genius.com/artists/Ceza,https://images.genius.com/4f04dc222bf915cec6269c77068e7dbc.470x470x1.jpg
2,80206,Vestkantsvartinga,https://genius.com/Karpe-diem-vestkantsvartinga-lyrics,/Karpe-diem-vestkantsvartinga-lyrics,https://s3.amazonaws.com/rapgenius/1348772725_karpediem_cover.jpg,27,2,17974,Karpe Diem,https://genius.com/artists/Karpe-diem,https://images.genius.com/5457f7931931442ae16dc8b51048efc1.980x653x1.jpg
2,130135,Ali In The Jungle,https://genius.com/The-hours-ali-in-the-jungle-lyrics,/The-hours-ali-in-the-jungle-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,13,3,42002,The Hours,https://genius.com/artists/The-hours,https://assets.genius.com/images/default_avatar_300.png?1491928287
2,151602,"COINTELPRO Long-Range Goals and Prevention of a Black ""Messiah""",https://genius.com/Federal-bureau-of-investigation-cointelpro-long-range-goals-and-prevention-of-a-black-messiah-annotated,/Federal-bureau-of-investigation-cointelpro-long-range-goals-and-prevention-of-a-black-messiah-annotated,https://s3.amazonaws.com/rapgenius/fbi_logo_twitter.jpg,18,18,45709,Federal Bureau of Investigation,https://genius.com/artists/Federal-bureau-of-investigation,https://s3.amazonaws.com/rapgenius/fbi_logo_twitter.jpg
3,453953,How To Rob The Mob,https://genius.com/A-ap-ferg-how-to-rob-the-mob-lyrics,/A-ap-ferg-how-to-rob-the-mob-lyrics,https://images.genius.com/c9440ee0b76ac4cc57b13638e1b04b1b.500x500x1.jpg,21,20,15369,A$AP Ferg,https://genius.com/artists/A-ap-ferg,https://images.genius.com/c9440ee0b76ac4cc57b13638e1b04b1b.500x500x1.jpg
