page,id,title,url,path,header_image_url,annotation_count,pyongs_count,primaryartist_id,primaryartist_name,primaryartist_url,primaryartist_imageurl
1,379,Ghetto Qu'ran (Forgive Me),https://genius.com/50-cent-ghetto-quran-forgive-me-lyrics,/50-cent-ghetto-quran-forgive-me-lyrics,https://s3.amazonaws.com/rapgenius/220px-Power_Of_The_Dollar22.JPG,47,12,108,50 Cent,https://genius.com/artists/50-cent,https://images.genius.com/f0f485e8d49d50f22cbb2b4c878c8969.464x464x1.jpg
1,220827,Qur'an Contents,https://genius.com/A-j-arberry-quran-contents-annotated,/A-j-arberry-quran-contents-annotated,https://s3.amazonaws.com/rapgenius/9780684825076_p0_v1_s260x420.jpg,119,5,72251,A. J. Arberry,https://genius.com/artists/A-j-arberry,https://s3.amazonaws.com/rapgenius/prof.arberry.jpg
1,220627,Sura 2: The Cow,https://genius.com/Holy-quran-english-interpretation-sura-2-the-cow-annotated,/Holy-quran-english-interpretation-sura-2-the-cow-annotated,https://s3.amazonaws.com/rapgenius/9780684825076_p0_v1_s260x420.jpg,26,2,36241,Holy Qur'an (English Interpretation),https://genius.com/artists/Holy-quran-english-interpretation,https://s3.amazonaws.com/rapgenius/Edirne_7331_Nevit.JPG
1,220758,LXXX He Frowned,https://genius.com/Holy-quran-english-interpretation-lxxx-he-frowned-annotated,/Holy-quran-english-interpretation-lxxx-he-frowned-annotated,https://s3.amazonaws.com/rapgenius/9780684825076_p0_v1_s260x420.jpg,3,,36241,Holy Qur'an (English Interpretation),https://genius.com/artists/Holy-quran-english-interpretation,https://s3.amazonaws.com/rapgenius/Edirne_7331_Nevit.JPG
1,220673,XXX The Greeks,https://genius.com/Holy-quran-english-interpretation-xxx-the-greeks-annotated,/Holy-quran-english-interpretation-xxx-the-greeks-annotated,https://s3.amazonaws.com/rapgenius/9780684825076_p0_v1_s260x420.jpg,1,,36241,Holy Qur'an (English Interpretation),https://genius.com/artists/Holy-quran-english-interpretation,https://s3.amazonaws.com/rapgenius/Edirne_7331_Nevit.JPG
1,147796,Surah Yasin,https://genius.com/Holy-quran-surah-yasin-annotated,/Holy-quran-surah-yasin-annotated,https://assets.genius.com/images/default_cover_image.png?1491928287,4,,4998,Holy Quran,https://genius.com/artists/Holy-quran,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,95220,RapGenius Qu'ran,https://genius.com/Rimmer-dustsquad-rapgenius-quran-lyrics,/Rimmer-dustsquad-rapgenius-quran-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,4,,26587,Rimmer_Dustsquad,https://genius.com/artists/Rimmer-dustsquad,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,220625,Sura 1: The Opening,https://genius.com/Holy-quran-english-interpretation-sura-1-the-opening-annotated,/Holy-quran-english-interpretation-sura-1-the-opening-annotated,https://s3.amazonaws.com/rapgenius/9780684825076_p0_v1_s260x420.jpg,4,1,36241,Holy Qur'an (English Interpretation),https://genius.com/artists/Holy-quran-english-interpretation,https://s3.amazonaws.com/rapgenius/Edirne_7331_Nevit.JPG
1,220737,LXVIII The Pen,https://genius.com/Holy-quran-english-interpretation-lxviii-the-pen-annotated,/Holy-quran-english-interpretation-lxviii-the-pen-annotated,https://s3.amazonaws.com/rapgenius/9780684825076_p0_v1_s260x420.jpg,22,2,36241,Holy Qur'an (English Interpretation),https://genius.com/artists/Holy-quran-english-interpretation,https://s3.amazonaws.com/rapgenius/Edirne_7331_Nevit.JPG
1,220766,LXXXV The Constellations,https://genius.com/Holy-quran-english-interpretation-lxxxv-the-constellations-annotated,/Holy-quran-english-interpretation-lxxxv-the-constellations-annotated,https://s3.amazonaws.com/rapgenius/9780684825076_p0_v1_s260x420.jpg,11,1,36241,Holy Qur'an (English Interpretation),https://genius.com/artists/Holy-quran-english-interpretation,https://s3.amazonaws.com/rapgenius/Edirne_7331_Nevit.JPG
2,2145223,Al Fatiha / الفاتحة,https://genius.com/Al-quran-al-fatiha-annotated,/Al-quran-al-fatiha-annotated,https://images.rapgenius.com/f6cb64a13f9c16aeffe38d41a84eb188.450x287x1.jpg,7,,502164,Al-Quran / القرآن,https://genius.com/artists/Al-quran,https://assets.genius.com/images/default_avatar_300.png?1491928287
