page,id,title,url,path,header_image_url,annotation_count,pyongs_count,primaryartist_id,primaryartist_name,primaryartist_url,primaryartist_imageurl
1,2297049,Ramadan,https://genius.com/Madman-ramadan-lyrics,/Madman-ramadan-lyrics,https://images.genius.com/5c75cd1cdf09c7ae059cc358cc44cda6.1000x1000x1.jpg,38,4,7923,MadMan,https://genius.com/artists/Madman,https://images.genius.com/25d798fd072c60b87a3be732b7006f1c.661x661x1.jpg
1,56576,Ramadan Mubarak,https://genius.com/Haas-spitta-ramadan-mubarak-lyrics,/Haas-spitta-ramadan-mubarak-lyrics,https://images.rapgenius.com/7484a25fd3cf2a6f0c14da6080bdae51.1000x750x1.jpg,11,,118421,Haas Spitta,https://genius.com/artists/Haas-spitta,https://images.rapgenius.com/avatars/medium/f32db99aeb6019932fb98f714a77784b
1,82460,Moby-Dick (Chap. 17: The Ramadan),https://genius.com/Herman-melville-moby-dick-chap-17-the-ramadan-annotated,/Herman-melville-moby-dick-chap-17-the-ramadan-annotated,https://s3.amazonaws.com/rapgenius/tumblr_mdoq7tcYoJ1rqipqwo1_400.jpg,9,,22978,Herman Melville,https://genius.com/artists/Herman-melville,https://s3.amazonaws.com/rapgenius/220px-Herman_Melville.jpg
1,718287,Ramadan | English version,https://genius.com/Maher-zain-ramadan-english-version-annotated,/Maher-zain-ramadan-english-version-annotated,https://i.genius.com/f921c8e67fecc8e4945b76c32af037ef603b4d7c?url=http%3A%2F%2Fhanafieattazikie.com%2Fwp-content%2Fuploads%2F2015%2F12%2F0maherzain.jpg,4,,120922,Maher Zain,https://genius.com/artists/Maher-zain,https://i.genius.com/f921c8e67fecc8e4945b76c32af037ef603b4d7c?url=http%3A%2F%2Fhanafieattazikie.com%2Fwp-content%2Fuploads%2F2015%2F12%2F0maherzain.jpg
1,2288609,Put It Back (Ramadanman Refix),https://genius.com/James-fox-put-it-back-ramadanman-refix-lyrics,/James-fox-put-it-back-ramadanman-refix-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,377538,James Fox,https://genius.com/artists/James-fox,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,2686812,Ramadan Kareem,https://genius.com/Nord1g-ramadan-kareem-lyrics,/Nord1g-ramadan-kareem-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,0,,43375,Nord1g,https://genius.com/artists/Nord1g,https://images.rapgenius.com/avatars/medium/39fbb0e8e5d0d7ad3c15f8f68659a8f8
1,2495918,Ramadan,https://genius.com/Cee-ramadan-lyrics,/Cee-ramadan-lyrics,https://images.genius.com/44d43e18a20e311885a02a2929b25a7d.1000x1000x1.jpg,0,,3159,Cee,https://genius.com/artists/Cee,https://images.genius.com/3ac2144df5b0f1113dcaaed2983d2035.1000x1000x1.jpg
1,472483,DKNY Ramadan Collection,https://genius.com/Fashion-genius-dkny-ramadan-collection-annotated,/Fashion-genius-dkny-ramadan-collection-annotated,https://images.genius.com/572b51ce3c79ecabece7c4a976ba915f.1000x1000x1.png,1,1,90978,Fashion Genius,https://genius.com/artists/Fashion-genius,https://images.genius.com/572b51ce3c79ecabece7c4a976ba915f.1000x1000x1.png
1,2245336,Tempest,https://genius.com/Ramadanman-tempest-lyrics,/Ramadanman-tempest-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,533412,Ramadanman,https://genius.com/artists/Ramadanman,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,2224523,Ramadan,https://genius.com/Maher-zain-ramadan-lyrics,/Maher-zain-ramadan-lyrics,https://i.genius.com/f921c8e67fecc8e4945b76c32af037ef603b4d7c?url=http%3A%2F%2Fhanafieattazikie.com%2Fwp-content%2Fuploads%2F2015%2F12%2F0maherzain.jpg,1,,120922,Maher Zain,https://genius.com/artists/Maher-zain,https://i.genius.com/f921c8e67fecc8e4945b76c32af037ef603b4d7c?url=http%3A%2F%2Fhanafieattazikie.com%2Fwp-content%2Fuploads%2F2015%2F12%2F0maherzain.jpg
2,1633263,Entre Noël et Ramadan,https://genius.com/Au-ptit-bonheur-entre-noel-et-ramadan-lyrics,/Au-ptit-bonheur-entre-noel-et-ramadan-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,363445,Au P'tit Bonheur,https://genius.com/artists/Au-ptit-bonheur,https://assets.genius.com/images/default_avatar_300.png?1491928287
2,2164742,Letter to the Editor 4,https://genius.com/David-chidiac-letter-to-the-editor-4-lyrics,/David-chidiac-letter-to-the-editor-4-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,185674,David Chidiac,https://genius.com/artists/David-chidiac,https://images.genius.com/avatars/medium/47610d9b20d33e8fc37e098910a9a345
2,3008466,Say goodbye,https://genius.com/Satra-benz-say-goodbye-annotated,/Satra-benz-say-goodbye-annotated,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,578169,Satra B.E.N.Z,https://genius.com/artists/Satra-benz,https://assets.genius.com/images/default_avatar_300.png?1491928287
2,2270213,Queen's Speech 4,https://genius.com/Lady-leshurr-queens-speech-4-lyrics,/Lady-leshurr-queens-speech-4-lyrics,https://images.rapgenius.com/8a935027305beba468fab6f4e3a38890.1000x1000x1.jpg,41,28,14313,Lady Leshurr,https://genius.com/artists/Lady-leshurr,https://images.genius.com/ab6376d840de1696daaea08ecbad1e91.579x388x1.png
2,716981,U Mad,https://genius.com/Vic-mensa-u-mad-lyrics,/Vic-mensa-u-mad-lyrics,https://images.genius.com/bfee6bcaf71935fbfa497a90b3e2f8f7.1000x525x1.jpg,45,269,18814,Vic Mensa,https://genius.com/artists/Vic-mensa,https://images.genius.com/39fa1d8c6bbaf75cafa214d968dbe38d.650x430x1.jpg
