page,id,title,url,path,header_image_url,annotation_count,pyongs_count,primaryartist_id,primaryartist_name,primaryartist_url,primaryartist_imageurl
1,2452967,BBN,https://genius.com/Les-freres-lumieres-bbn-lyrics,/Les-freres-lumieres-bbn-lyrics,https://images.genius.com/e9c98a65bcfa57b20dcd64b6fc9b728a.1000x1000x1.jpg,36,4,609876,Les Frères Lumières,https://genius.com/artists/Les-freres-lumieres,https://images.genius.com/b945e8dc416c194b47d76ae87405f69e.960x960x1.jpg
1,216392,Letter To America,https://genius.com/Osama-bin-laden-letter-to-america-annotated,/Osama-bin-laden-letter-to-america-annotated,https://images.genius.com/0f4a447f86a7f133be8d8079eaba3675.840x779x1.jpg,2,,44230,Osama Bin Laden,https://genius.com/artists/Osama-bin-laden,https://images.genius.com/0f4a447f86a7f133be8d8079eaba3675.840x779x1.jpg
1,393879,Islamic Banking,https://genius.com/Economics-genius-islamic-banking-annotated,/Economics-genius-islamic-banking-annotated,https://images.genius.com/086161adfe6007f9b71b233037bcd815.282x292x1.gif,3,2,138158,Economics Genius,https://genius.com/artists/Economics-genius,https://images.genius.com/086161adfe6007f9b71b233037bcd815.282x292x1.gif
1,527494,Michelle Bachmann - 2014 Values Voter Summit Speech,https://genius.com/Michele-bachmann-michelle-bachmann-2014-values-voter-summit-speech-annotated,/Michele-bachmann-michelle-bachmann-2014-values-voter-summit-speech-annotated,https://assets.genius.com/images/default_cover_image.png?1491928287,17,,52680,Michele Bachmann,https://genius.com/artists/Michele-bachmann,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,2688470,P-dog's Reason,https://genius.com/P17-p-dogs-reason-annotated,/P17-p-dogs-reason-annotated,https://assets.genius.com/images/default_cover_image.png?1491928287,11,,669843,P∅17,https://genius.com/artists/P17,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,692300,Stopthebill.co.uk,https://genius.com/Stopthebillcouk-stopthebillcouk-annotated,/Stopthebillcouk-stopthebillcouk-annotated,https://assets.genius.com/images/default_cover_image.png?1491928287,10,,323825,Stopthebill.co.uk,https://genius.com/artists/Stopthebillcouk,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,2319992,Handcuffed for Making Clock,https://genius.com/Manny-fernandez-and-christine-hauser-handcuffed-for-making-clock-annotated,/Manny-fernandez-and-christine-hauser-handcuffed-for-making-clock-annotated,https://assets.genius.com/images/default_cover_image.png?1491928287,3,,573575,Manny Fernandez and Christine Hauser,https://genius.com/artists/Manny-fernandez-and-christine-hauser,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,2483874,Ты не шаришь (Ty ne sharish),https://genius.com/Furry-ty-ne-sharish-lyrics,/Furry-ty-ne-sharish-lyrics,https://images.genius.com/5e4b1acf12c75b7f4f37247805cb9964.1000x749x1.jpg,24,9,676149,Furry,https://genius.com/artists/Furry,https://images.genius.com/363668c5d9c219ab11d9308b2163628e.407x407x1.jpg
1,2251815,Daniel Kahneman: ‘What would I eliminate if I had a magic wand? Overconfidence’,https://genius.com/David-shariatmadari-daniel-kahneman-what-would-i-eliminate-if-i-had-a-magic-wand-overconfidence-annotated,/David-shariatmadari-daniel-kahneman-what-would-i-eliminate-if-i-had-a-magic-wand-overconfidence-annotated,https://assets.genius.com/images/default_cover_image.png?1491928287,6,,535472,David Shariatmadari,https://genius.com/artists/David-shariatmadari,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,2483087,Flying Over Sharjah,https://genius.com/Andeo-flying-over-sharjah-lyrics,/Andeo-flying-over-sharjah-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,0,,675732,Andeo,https://genius.com/artists/Andeo,https://assets.genius.com/images/default_avatar_300.png?1491928287
2,3046560,Шаришь (Sharish),https://genius.com/Jacques-anthony-sharish-lyrics,/Jacques-anthony-sharish-lyrics,https://images.genius.com/bbcfeff72c1223f1ab48f2f762747bd6.400x400x1.jpg,0,,614556,Жак Энтони (Jacques Anthony),https://genius.com/artists/Jacques-anthony,https://images.genius.com/96c3541deaeba3e67518dbb5f5383cfc.604x604x1.jpg
2,2248829,Suasana Hari Raya,https://genius.com/Sharifah-aini-suasana-hari-raya-lyrics,/Sharifah-aini-suasana-hari-raya-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,533924,Sharifah Aini,https://genius.com/artists/Sharifah-aini,https://assets.genius.com/images/default_avatar_300.png?1491928287
2,1044192,Sharia Under A Beauty Curse,https://genius.com/I-scintilla-sharia-under-a-beauty-curse-lyrics,/I-scintilla-sharia-under-a-beauty-curse-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,361310,I:Scintilla,https://genius.com/artists/I-scintilla,https://assets.genius.com/images/default_avatar_300.png?1491928287
2,2417869,Mic Taser,https://genius.com/Salmo-mic-taser-lyrics,/Salmo-mic-taser-lyrics,https://images.genius.com/af40f62d4ef89bdc2aca21ceb4c4b5bc.960x960x1.jpg,65,5,33882,Salmo,https://genius.com/artists/Salmo,https://images.genius.com/bb172080f946749dda4883d4b103984e.525x525x1.jpg
