page,id,title,url,path,header_image_url,annotation_count,pyongs_count,primaryartist_id,primaryartist_name,primaryartist_url,primaryartist_imageurl
1,1446767,Holy Shiite,https://genius.com/Dayglo-abortions-holy-shiite-lyrics,/Dayglo-abortions-holy-shiite-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,343633,Dayglo Abortions,https://genius.com/artists/Dayglo-abortions,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,50908,Dispear,https://genius.com/Nas-and-damian-marley-dispear-lyrics,/Nas-and-damian-marley-dispear-lyrics,https://images.genius.com/24e9aa3f9bdfba462d7390c1eefea7b0.320x320x1.jpg,62,4,390964,Nas & Damian Marley,https://genius.com/artists/Nas-and-damian-marley,https://images.genius.com/b1fece25891e79561e3740e6f39a6cfd.300x300x1.jpg
1,5855,Grand Ol' Party Crash,https://genius.com/Cage-grand-ol-party-crash-lyrics,/Cage-grand-ol-party-crash-lyrics,https://images.genius.com/35a6c4fadae054a62d3335575b662535.500x490x1.jpg,34,2,1068,Cage,https://genius.com/artists/Cage,https://images.genius.com/f01cacc8ef712f592d3a44e9ad9a2392.285x285x1.jpg
1,65562,Terror Network,https://genius.com/Heavy-metal-kings-terror-network-lyrics,/Heavy-metal-kings-terror-network-lyrics,https://s3.amazonaws.com/rapgenius/HMKCD.jpg,16,1,2037,Heavy Metal Kings,https://genius.com/artists/Heavy-metal-kings,https://s3.amazonaws.com/rapgenius/1360595493_it6d4704.jpg
1,716441,"Israeli Prime Minister Benjamin Netanyahu’s address to Congress, March 3, 2015",https://genius.com/Benjamin-netanyahu-israeli-prime-minister-benjamin-netanyahus-address-to-congress-march-3-2015-annotated,/Benjamin-netanyahu-israeli-prime-minister-benjamin-netanyahus-address-to-congress-march-3-2015-annotated,https://images.genius.com/372a5097883e9e1305f9fc088f65b090.1000x665x1.jpg,142,1,51117,Benjamin Netanyahu,https://genius.com/artists/Benjamin-netanyahu,https://images.genius.com/92f7cc9f5c7ba34e4e3d2be1e37c8e86.799x799x1.jpg
1,44481,The Show,https://genius.com/Talib-kweli-the-show-lyrics,/Talib-kweli-the-show-lyrics,https://images.genius.com/fdb67601e7939e3a4998df28105a93d0.600x600x1.jpg,17,,388,Talib Kweli,https://genius.com/artists/Talib-kweli,https://s3.amazonaws.com/rapgenius/talib-pic.png
1,13708,Tap Dance,https://genius.com/Chino-xl-tap-dance-lyrics,/Chino-xl-tap-dance-lyrics,https://s3.amazonaws.com/rapgenius/1315673508_chino-xl.jpg,5,1,487,Chino XL,https://genius.com/artists/Chino-xl,https://s3.amazonaws.com/rapgenius/1315673508_chino-xl.jpg
1,49034,Millenniums of Murder,https://genius.com/Dj-muggs-vs-ill-bill-millenniums-of-murder-lyrics,/Dj-muggs-vs-ill-bill-millenniums-of-murder-lyrics,https://images.genius.com/166ebcd191e467f1f14c38dca418360f.500x499x1.jpg,14,,1067718,DJ Muggs vs. ILL BILL,https://genius.com/artists/Dj-muggs-vs-ill-bill,https://images.genius.com/f1f9d7eea5a3e5a427956968fc5d1800.400x400x1.jpg
1,2160175,Legacy,https://genius.com/Non-phixion-legacy-lyrics,/Non-phixion-legacy-lyrics,https://images.rapgenius.com/2b3cd2e586a05290f89228423800528d.709x727x1.jpg,5,,6816,Non Phixion,https://genius.com/artists/Non-phixion,https://images.genius.com/1acbc6795730381c110ddc68d338b292.652x489x1.jpg
1,7920,All Night,https://genius.com/Tha-alkaholiks-all-night-lyrics,/Tha-alkaholiks-all-night-lyrics,https://images.genius.com/f9b35d9b91429d7d246f8a19dab744f9.498x500x1.jpg,4,,3070,Tha Alkaholiks,https://genius.com/artists/Tha-alkaholiks,https://s3.amazonaws.com/rapgenius/Tha%20Alkaholiks%20liks.jpg
2,215444,Saudis Sent Death-row Inmates to Fight Assad,https://genius.com/Usa-today-saudis-sent-death-row-inmates-to-fight-assad-annotated,/Usa-today-saudis-sent-death-row-inmates-to-fight-assad-annotated,https://assets.genius.com/images/default_cover_image.png?1491928287,7,2,63639,USA Today,https://genius.com/artists/Usa-today,https://assets.genius.com/images/default_avatar_300.png?1491928287
2,104652,Just War Theory,https://genius.com/Noam-chomsky-just-war-theory-annotated,/Noam-chomsky-just-war-theory-annotated,https://images.genius.com/5441fcae55cda7281fac35fae9764e05.768x576x1.png,1,,32592,Noam Chomsky,https://genius.com/artists/Noam-chomsky,https://images.genius.com/5441fcae55cda7281fac35fae9764e05.768x576x1.png
2,7717,Politricks,https://genius.com/Akir-politricks-lyrics,/Akir-politricks-lyrics,https://images.genius.com/ec568067b0f966b9ee18a0f87677e60e.1000x1000x1.jpg,8,,1461,Akir,https://genius.com/artists/Akir,https://s3.amazonaws.com/rapgenius/SV3.jpg
2,527984,60 Minutes Interview,https://genius.com/Barack-obama-60-minutes-interview-annotated,/Barack-obama-60-minutes-interview-annotated,https://images.genius.com/2ea65f941f25d663261a95b67806f6f1.1000x1000x1.jpg,12,3,11156,Barack Obama,https://genius.com/artists/Barack-obama,https://images.genius.com/2ea65f941f25d663261a95b67806f6f1.1000x1000x1.jpg
2,99454,IDGAF,https://genius.com/I-khan-idgaf-lyrics,/I-khan-idgaf-lyrics,https://images.genius.com/056bf0648a44dbe8a0c958316b351584.700x700x1.jpg,8,,2171,I-Khan,https://genius.com/artists/I-khan,https://assets.genius.com/images/default_avatar_300.png?1491928287
2,39534,Slap Season,https://genius.com/Ras-kass-slap-season-lyrics,/Ras-kass-slap-season-lyrics,https://images.genius.com/2da3a75f58b3dbdfe9065ec4a2b58afc.500x501x1.jpg,3,,1451,Ras Kass,https://genius.com/artists/Ras-kass,https://s3.amazonaws.com/rapgenius/urb%20ras%20kass.jpg
2,235096,"""What We Say Goes"": The Middle East in the New World Order",https://genius.com/Noam-chomsky-what-we-say-goes-the-middle-east-in-the-new-world-order-annotated,/Noam-chomsky-what-we-say-goes-the-middle-east-in-the-new-world-order-annotated,https://images.genius.com/5441fcae55cda7281fac35fae9764e05.768x576x1.png,1,,32592,Noam Chomsky,https://genius.com/artists/Noam-chomsky,https://images.genius.com/5441fcae55cda7281fac35fae9764e05.768x576x1.png
2,218927,Humanitarian Imperialism: The New Doctrine of Imperial Right,https://genius.com/Noam-chomsky-humanitarian-imperialism-the-new-doctrine-of-imperial-right-annotated,/Noam-chomsky-humanitarian-imperialism-the-new-doctrine-of-imperial-right-annotated,https://images.genius.com/5441fcae55cda7281fac35fae9764e05.768x576x1.png,1,1,32592,Noam Chomsky,https://genius.com/artists/Noam-chomsky,https://images.genius.com/5441fcae55cda7281fac35fae9764e05.768x576x1.png
2,235093,International Terrorism: Image and Reality,https://genius.com/Noam-chomsky-international-terrorism-image-and-reality-annotated,/Noam-chomsky-international-terrorism-image-and-reality-annotated,https://images.genius.com/5441fcae55cda7281fac35fae9764e05.768x576x1.png,1,,32592,Noam Chomsky,https://genius.com/artists/Noam-chomsky,https://images.genius.com/5441fcae55cda7281fac35fae9764e05.768x576x1.png
2,1912830,Revisiting Charlie,https://genius.com/S-s-raza-revisiting-charlie-annotated,/S-s-raza-revisiting-charlie-annotated,https://assets.genius.com/images/default_cover_image.png?1491928287,17,,440203,S S Raza,https://genius.com/artists/S-s-raza,https://assets.genius.com/images/default_avatar_300.png?1491928287
3,235094,Aftermath,https://genius.com/Noam-chomsky-aftermath-annotated,/Noam-chomsky-aftermath-annotated,https://images.genius.com/5441fcae55cda7281fac35fae9764e05.768x576x1.png,1,,32592,Noam Chomsky,https://genius.com/artists/Noam-chomsky,https://images.genius.com/5441fcae55cda7281fac35fae9764e05.768x576x1.png
3,230814,Who are the Global Terrorists?,https://genius.com/Noam-chomsky-who-are-the-global-terrorists-annotated,/Noam-chomsky-who-are-the-global-terrorists-annotated,https://images.genius.com/5441fcae55cda7281fac35fae9764e05.768x576x1.png,1,,32592,Noam Chomsky,https://genius.com/artists/Noam-chomsky,https://images.genius.com/5441fcae55cda7281fac35fae9764e05.768x576x1.png
3,218924,"The Election, Economy, War, and Peace",https://genius.com/Noam-chomsky-the-election-economy-war-and-peace-annotated,/Noam-chomsky-the-election-economy-war-and-peace-annotated,https://images.genius.com/5441fcae55cda7281fac35fae9764e05.768x576x1.png,1,,32592,Noam Chomsky,https://genius.com/artists/Noam-chomsky,https://images.genius.com/5441fcae55cda7281fac35fae9764e05.768x576x1.png
3,1099261,Muppet Face,https://genius.com/Xiu-xiu-muppet-face-lyrics,/Xiu-xiu-muppet-face-lyrics,https://images.genius.com/dfbd5933fbd3e16b6f441d5fdcc1b7ea.1000x1000x1.jpg,1,,18696,Xiu Xiu,https://genius.com/artists/Xiu-xiu,https://images.genius.com/6cac13eb31221b42de152b1146ff77bc.569x569x1.jpg
3,2435119,These Streets,https://genius.com/Mitten-boyz-these-streets-lyrics,/Mitten-boyz-these-streets-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,25,4,622940,Mitten Boyz,https://genius.com/artists/Mitten-boyz,https://images.rapgenius.com/avatars/medium/49568ce30f4165b635470b414152e5f7
3,235087,No Longer Safe,https://genius.com/Noam-chomsky-no-longer-safe-annotated,/Noam-chomsky-no-longer-safe-annotated,https://images.genius.com/5441fcae55cda7281fac35fae9764e05.768x576x1.png,1,,32592,Noam Chomsky,https://genius.com/artists/Noam-chomsky,https://images.genius.com/5441fcae55cda7281fac35fae9764e05.768x576x1.png
3,235107,Scenes from the Uprising,https://genius.com/Noam-chomsky-scenes-from-the-uprising-annotated,/Noam-chomsky-scenes-from-the-uprising-annotated,https://images.genius.com/5441fcae55cda7281fac35fae9764e05.768x576x1.png,1,,32592,Noam Chomsky,https://genius.com/artists/Noam-chomsky,https://images.genius.com/5441fcae55cda7281fac35fae9764e05.768x576x1.png
3,1741720,Freeway Fire,https://genius.com/Your-old-droog-freeway-fire-lyrics,/Your-old-droog-freeway-fire-lyrics,https://images.genius.com/c57b73a42d5205ca610f1eca3aee82c4.500x500x1.jpg,1,,189044,Your Old Droog,https://genius.com/artists/Your-old-droog,https://images.genius.com/56c9da49c415957b18820130ae9890d4.300x300x1.jpg
3,773814,Welcome To The Cabaret,https://genius.com/Christy-moore-welcome-to-the-cabaret-lyrics,/Christy-moore-welcome-to-the-cabaret-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,348247,Christy Moore,https://genius.com/artists/Christy-moore,https://assets.genius.com/images/default_avatar_300.png?1491928287
4,383492,"Remarks by His Majesty King Abdullah II At Nahdlatul Ulama Interfaith Conference: ""Islam for Peace and Civilization""",https://genius.com/King-abdullah-ii-of-jordan-remarks-by-his-majesty-king-abdullah-ii-at-nahdlatul-ulama-interfaith-conference-islam-for-peace-and-civilization-annotated,/King-abdullah-ii-of-jordan-remarks-by-his-majesty-king-abdullah-ii-at-nahdlatul-ulama-interfaith-conference-islam-for-peace-and-civilization-annotated,https://assets.genius.com/images/default_cover_image.png?1491928287,3,,155164,King Abdullah II of Jordan,https://genius.com/artists/King-abdullah-ii-of-jordan,https://assets.genius.com/images/default_avatar_300.png?1491928287
4,235086,"""Limited War"" in Lebanon",https://genius.com/Noam-chomsky-limited-war-in-lebanon-annotated,/Noam-chomsky-limited-war-in-lebanon-annotated,https://images.genius.com/5441fcae55cda7281fac35fae9764e05.768x576x1.png,1,,32592,Noam Chomsky,https://genius.com/artists/Noam-chomsky,https://images.genius.com/5441fcae55cda7281fac35fae9764e05.768x576x1.png
4,230475,What a Fair Trial for Saddam Would Entail,https://genius.com/Noam-chomsky-what-a-fair-trial-for-saddam-would-entail-annotated,/Noam-chomsky-what-a-fair-trial-for-saddam-would-entail-annotated,https://images.genius.com/5441fcae55cda7281fac35fae9764e05.768x576x1.png,1,,32592,Noam Chomsky,https://genius.com/artists/Noam-chomsky,https://images.genius.com/5441fcae55cda7281fac35fae9764e05.768x576x1.png
4,256587,The Sanctity of Borders,https://genius.com/Noam-chomsky-the-sanctity-of-borders-annotated,/Noam-chomsky-the-sanctity-of-borders-annotated,https://images.genius.com/5441fcae55cda7281fac35fae9764e05.768x576x1.png,5,,32592,Noam Chomsky,https://genius.com/artists/Noam-chomsky,https://images.genius.com/5441fcae55cda7281fac35fae9764e05.768x576x1.png
4,220253,I. Introduction,https://genius.com/Warner-d-farr-us-army-i-introduction-annotated,/Warner-d-farr-us-army-i-introduction-annotated,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,72055,"Warner D. Farr, U.S. Army",https://genius.com/artists/Warner-d-farr-us-army,https://assets.genius.com/images/default_avatar_300.png?1491928287
