page,id,title,url,path,header_image_url,annotation_count,pyongs_count,primaryartist_id,primaryartist_name,primaryartist_url,primaryartist_imageurl
1,2981412,Состав участников команды ЗАКАТ 99.1 (Members list),https://genius.com/3akat-991-991-members-list-annotated,/3akat-991-991-members-list-annotated,https://images.genius.com/d0e0ea328c95d3ee5dab6664d29381f0.1000x1000x1.jpg,20,2,1072662,3AKAT 99.1,https://genius.com/artists/3akat-991,https://images.genius.com/d0e0ea328c95d3ee5dab6664d29381f0.1000x1000x1.jpg
1,737332,Закат (Zakat),https://genius.com/Xvtt-zakat-lyrics,/Xvtt-zakat-lyrics,https://images.rapgenius.com/8605be5395a35b3bb2ea677b28b502b0.604x604x1.jpg,7,2,341854,Xvtt,https://genius.com/artists/Xvtt,https://images.genius.com/d03661eab019b48073d435eb44a86fdb.1000x1000x1.jpg
1,2871590,Тебя не найдут,https://genius.com/Red-zakat--lyrics,/Red-zakat--lyrics,https://images.genius.com/796462b313b882c00feb23b1477566a5.452x452x1.jpg,1,,1010244,Red Zakat,https://genius.com/artists/Red-zakat,https://images.genius.com/796462b313b882c00feb23b1477566a5.452x452x1.jpg
1,2828330,Nasz zakątek,https://genius.com/Lilu-nasz-zakatek-lyrics,/Lilu-nasz-zakatek-lyrics,https://i.genius.com/f18f4f22ac8f735cbeadacf42730afb4adcfc815?url=https%3A%2F%2Fproxy1.pebx.eu%2F%3Furl%3Di248.photobucket.com%252Falbums%252Fgg161%252FTIREX2k8%252FRMP%252F00-lilu-la-pl-2008-empik.jpg,1,,73128,Lilu,https://genius.com/artists/Lilu,https://images.genius.com/07634dd0992c5ddab06f2a4e1cb16d47.432x458x1.jpg
1,2871903,Сети Pt2,https://genius.com/Red-zakat-pt2-lyrics,/Red-zakat-pt2-lyrics,https://images.genius.com/796462b313b882c00feb23b1477566a5.452x452x1.jpg,1,,1010244,Red Zakat,https://genius.com/artists/Red-zakat,https://images.genius.com/796462b313b882c00feb23b1477566a5.452x452x1.jpg
1,2871900,"Howe, damn!",https://genius.com/Red-zakat-howe-damn-lyrics,/Red-zakat-howe-damn-lyrics,https://images.genius.com/796462b313b882c00feb23b1477566a5.452x452x1.jpg,1,,1010244,Red Zakat,https://genius.com/artists/Red-zakat,https://images.genius.com/796462b313b882c00feb23b1477566a5.452x452x1.jpg
1,2871617,Happy Trouble,https://genius.com/Red-zakat-happy-trouble-lyrics,/Red-zakat-happy-trouble-lyrics,https://images.genius.com/796462b313b882c00feb23b1477566a5.452x452x1.jpg,1,,1010244,Red Zakat,https://genius.com/artists/Red-zakat,https://images.genius.com/796462b313b882c00feb23b1477566a5.452x452x1.jpg
1,2980303,От заката до рассвета (Ot zakata do...)*,https://genius.com/Iroh-ot-zakata-do-lyrics,/Iroh-ot-zakata-do-lyrics,https://images.genius.com/1a149d227caa5c09de7100e003b7093d.1000x1000x1.jpg,0,,299967,Iroh,https://genius.com/artists/Iroh,https://images.genius.com/b185ee40d22c738a5bd5c0b23c7e9f1c.1000x666x1.jpg
1,774970,You Lie Down With Dogs {lenny Zakatek},https://genius.com/Parsons-alan-you-lie-down-with-dogs-lenny-zakatek-lyrics,/Parsons-alan-you-lie-down-with-dogs-lenny-zakatek-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,1,,348838,Parsons Alan,https://genius.com/artists/Parsons-alan,https://assets.genius.com/images/default_avatar_300.png?1491928287
1,3031218,DO ZAKATA,https://genius.com/Abel-nobil-do-zakata-lyrics,/Abel-nobil-do-zakata-lyrics,https://assets.genius.com/images/default_cover_image.png?1491928287,0,,1105823,Abel Nobil,https://genius.com/artists/Abel-nobil,https://assets.genius.com/images/default_avatar_300.png?1491928287
2,51864,I'm On,https://genius.com/Trae-tha-truth-im-on-lyrics,/Trae-tha-truth-im-on-lyrics,https://images.genius.com/0018fb71204f29ec600cdfddabd620d2.1000x1000x1.jpg,70,9,1075,Trae tha Truth,https://genius.com/artists/Trae-tha-truth,https://s3.amazonaws.com/rapgenius/1352827919_Trae_Tha_Truth_I_m_On_Lyrics.jpg
2,1386,Muhammad Walks,https://genius.com/Lupe-fiasco-muhammad-walks-lyrics,/Lupe-fiasco-muhammad-walks-lyrics,https://images.genius.com/9922f7078ce1f910a0541c33e13cce5b.500x500x1.png,40,9,147,Lupe Fiasco,https://genius.com/artists/Lupe-fiasco,https://images.genius.com/c3bf9f7adba5a0603bf9ad7b63f91489.304x304x1.jpg
2,399757,Majster,https://genius.com/Despo-rutti-majster-lyrics,/Despo-rutti-majster-lyrics,https://images.genius.com/d32002ba259ec27c3fa4476610098e9a.1000x1000x1.jpg,40,12,1750,Despo Rutti,https://genius.com/artists/Despo-rutti,https://images.genius.com/8675e6d06b7f50c6ff09a0a8da03ea1c.1000x1000x1.jpg
2,2917037,Porteur saint,https://genius.com/Medine-porteur-saint-lyrics,/Medine-porteur-saint-lyrics,https://images.genius.com/0eac4efa5ded4c5773aad64d6d641f3c.960x960x1.jpg,52,3,1265,Médine,https://genius.com/artists/Medine,https://images.genius.com/151f1d715fb446dbcec2f31ebe48823e.549x549x1.jpg
2,1862565,Chcę to widzieć,https://genius.com/Vnm-chce-to-widziec-lyrics,/Vnm-chce-to-widziec-lyrics,https://images.genius.com/77617527207161c10f4545b5a4b4b47b.400x411x1.jpg,9,,28955,VNM,https://genius.com/artists/Vnm,https://s3.amazonaws.com/rapgenius/16367.jpg
2,2820892,Szmaragdy i Diamenty,https://genius.com/Rogal-ddl-szmaragdy-i-diamenty-lyrics,/Rogal-ddl-szmaragdy-i-diamenty-lyrics,https://images.genius.com/9d028832e886aba5b869f44f50fc27af.960x960x1.jpg,6,,632584,Rogal DDL,https://genius.com/artists/Rogal-ddl,https://images.genius.com/ecbdd9d7c970103300e1859560d3892f.633x633x1.png
2,2442635,"""Tradycja pozwala nam dokładniej zdefiniować siebie"" - wywiad z Quebonafide",https://genius.com/Rap-genius-polska-tradycja-pozwala-nam-dokadniej-zdefiniowac-siebie-wywiad-z-quebonafide-annotated,/Rap-genius-polska-tradycja-pozwala-nam-dokadniej-zdefiniowac-siebie-wywiad-z-quebonafide-annotated,https://images.rapgenius.com/1e96e98199edea5599553ef1fe9ec219.1000x667x1.jpg,4,9,71378,Rap Genius Polska,https://genius.com/artists/Rap-genius-polska,https://images.genius.com/afc9329f3acd078318c5858239030513.180x180x1.png
2,209548,"""SUCKA MC's"" Kendrick Lamar,Joell Ortiz,Cassidy and Papoose (Control Response)",https://genius.com/Quadir-lateef-sucka-mcs-kendrick-lamarjoell-ortizcassidy-and-papoose-control-response-lyrics,/Quadir-lateef-sucka-mcs-kendrick-lamarjoell-ortizcassidy-and-papoose-control-response-lyrics,https://images.genius.com/9c7a0cb70ba1fe162239e69a548b576d.400x266x1.jpg,1,,41001,Quadir Lateef,https://genius.com/artists/Quadir-lateef,https://images.genius.com/9c7a0cb70ba1fe162239e69a548b576d.400x266x1.jpg
2,192517,Gorąca Ofiara,https://genius.com/Jimson-goraca-ofiara-lyrics,/Jimson-goraca-ofiara-lyrics,https://s3.amazonaws.com/rapgenius/goraczka.jpeg,18,,27929,Jimson,https://genius.com/artists/Jimson,https://s3.amazonaws.com/rapgenius/941103_504426366272211_1196956454_n.jpg
2,2910357,Gtmotors,https://genius.com/Laylow-fr-gtmotors-lyrics,/Laylow-fr-gtmotors-lyrics,https://images.genius.com/a802bc4f765554c6bd8964854e263ed2.960x540x1.jpg,10,1,308564,Laylow (Fr),https://genius.com/artists/Laylow-fr,https://images.genius.com/05c5cd4f714da4cf3df2e9ff91fa4a3e.309x309x1.png
