page,id,title,url,path,header_image_url,annotation_count,pyongs_count,primaryartist_id,primaryartist_name,primaryartist_url,primaryartist_imageurl
1,2327377,Salam Alaikum,https://genius.com/Harris-j-salam-alaikum-lyrics,/Harris-j-salam-alaikum-lyrics,https://assets.genius.com/images/default_cover_image.png?1491429285,0,,577169,Harris J,https://genius.com/artists/Harris-j,https://assets.genius.com/images/default_avatar_300.png?1491429285
1,1550162,"Peace Go With You, Brother (As-Salaam-Alaikum)",https://genius.com/Gil-scott-heron-and-brian-jackson-peace-go-with-you-brother-as-salaam-alaikum-lyrics,/Gil-scott-heron-and-brian-jackson-peace-go-with-you-brother-as-salaam-alaikum-lyrics,https://images.genius.com/c7d9b40b1f45834de45b328d4880aac5.550x550x1.png,1,,988520,Gil Scott-Heron & Brian Jackson,https://genius.com/artists/Gil-scott-heron-and-brian-jackson,https://images.genius.com/75e225c3dd75206010910f7c74d8fa86.1000x1000x1.jpg
1,1484214,"Peace Go With You, Brother (Wa-Alaikum-Salaam)",https://genius.com/Gil-scott-heron-and-brian-jackson-peace-go-with-you-brother-wa-alaikum-salaam-lyrics,/Gil-scott-heron-and-brian-jackson-peace-go-with-you-brother-wa-alaikum-salaam-lyrics,https://images.genius.com/c7d9b40b1f45834de45b328d4880aac5.550x550x1.png,1,,988520,Gil Scott-Heron & Brian Jackson,https://genius.com/artists/Gil-scott-heron-and-brian-jackson,https://images.genius.com/75e225c3dd75206010910f7c74d8fa86.1000x1000x1.jpg
1,1076,Power (Remix),https://genius.com/Kanye-west-power-remix-lyrics,/Kanye-west-power-remix-lyrics,https://images.genius.com/59160271fbd11e60175dc47765be3593.550x550x1.jpg,73,24,72,Kanye West,https://genius.com/artists/Kanye-west,https://images.genius.com/3f5622d85b81634ecef40519556d525b.667x667x1.jpg
1,409758,Sail,https://genius.com/Machine-gun-kelly-sail-lyrics,/Machine-gun-kelly-sail-lyrics,https://images.genius.com/1c950d85b48c1c131bbb45cb6068a9ee.500x500x1.jpg,41,185,1665,Machine Gun Kelly,https://genius.com/artists/Machine-gun-kelly,https://images.genius.com/af59297acf8a64644df4fe1df32f8098.600x600x1.jpg
1,229,Beam Me Up Scotty,https://genius.com/Nicki-minaj-beam-me-up-scotty-lyrics,/Nicki-minaj-beam-me-up-scotty-lyrics,https://images.genius.com/d4b8299bec1aac14c1931423e8d3466c.500x500x1.jpg,38,7,92,Nicki Minaj,https://genius.com/artists/Nicki-minaj,https://images.genius.com/b1f72f9dba42cee7244dffdce457431e.776x776x1.jpg
1,1594,Ain't No Half Steppin,https://genius.com/Big-daddy-kane-aint-no-half-steppin-lyrics,/Big-daddy-kane-aint-no-half-steppin-lyrics,https://images.genius.com/05102156abeb374ce6078776ec97605d.600x575x1.jpg,39,12,202,Big Daddy Kane,https://genius.com/artists/Big-daddy-kane,https://s3.amazonaws.com/rapgenius/1321503841_BDK%20fade.jpg
1,3021691,ROCKABYE BABY,https://genius.com/Joey-bada-rockabye-baby-lyrics,/Joey-bada-rockabye-baby-lyrics,https://images.genius.com/0a5608c99cd5209b622b9cc7d383b9c6.1000x1000x1.jpg,23,24,18047,Joey Bada$$,https://genius.com/artists/Joey-bada,https://images.genius.com/04d0b6e6105201632be0a45e1968ba75.1000x1000x1.jpg
1,1438,All Outta Ale,https://genius.com/Mf-doom-all-outta-ale-lyrics,/Mf-doom-all-outta-ale-lyrics,https://images.rapgenius.com/e35ae570deff5c95d381ad7936ceba81.480x343x1.jpg,60,6,70,MF DOOM,https://genius.com/artists/Mf-doom,https://images.genius.com/263743633b6e58854e753b25dca6beab.430x430x1.jpg
1,85148,By Any Means Necessary,https://genius.com/Malcolm-x-by-any-means-necessary-annotated,/Malcolm-x-by-any-means-necessary-annotated,https://s3.amazonaws.com/rapgenius/1359822732_Malcolm-X-9396195-1-402.jpg,37,31,12037,Malcolm X,https://genius.com/artists/Malcolm-x,https://s3.amazonaws.com/rapgenius/1359822732_Malcolm-X-9396195-1-402.jpg
