page,id,title,url,path,header_image_url,annotation_count,pyongs_count,primaryartist_id,primaryartist_name,primaryartist_url,primaryartist_imageurl
1,359813,Jihad Boyz,https://genius.com/I61-jihad-boyz-lyrics,/I61-jihad-boyz-lyrics,https://images.rapgenius.com/dd54048cbe6d1ed5860c3bcf90670f54.604x604x1.jpg,26,13,116980,​i61,https://genius.com/artists/I61,https://images.genius.com/e4acce061539c5d91c808eb44a776070.503x503x1.jpg
1,6114,Jihad,https://genius.com/Medine-jihad-lyrics,/Medine-jihad-lyrics,https://images.rapgenius.com/a4016bb8b60aece2557ce7c6d33e45ae.500x500x1.jpg,36,3,1265,Médine,https://genius.com/artists/Medine,https://images.genius.com/151f1d715fb446dbcec2f31ebe48823e.549x549x1.jpg
1,202767,People II: The Reckoning,https://genius.com/Ajj-people-ii-the-reckoning-lyrics,/Ajj-people-ii-the-reckoning-lyrics,https://images.genius.com/bfc2b80bdbfaa40a478bf4fec0705a80.400x400x1.jpg,13,5,40035,AJJ,https://genius.com/artists/Ajj,https://images.genius.com/47f8b3e157ea0ee2f06dd3ea1c649e71.1000x563x1.jpg
1,187346,Keine Toleranz,https://genius.com/G-hot-keine-toleranz-lyrics,/G-hot-keine-toleranz-lyrics,https://images.genius.com/6700bc1315f15509d111bf0071b9dc33.1000x667x1.jpg,13,,17964,G-Hot,https://genius.com/artists/G-hot,https://images.genius.com/6700bc1315f15509d111bf0071b9dc33.1000x667x1.jpg
1,202738,A Song Dedicated To The Memory of Stormy The Rabbit,https://genius.com/Ajj-a-song-dedicated-to-the-memory-of-stormy-the-rabbit-lyrics,/Ajj-a-song-dedicated-to-the-memory-of-stormy-the-rabbit-lyrics,https://images.genius.com/bfc2b80bdbfaa40a478bf4fec0705a80.400x400x1.jpg,12,2,40035,AJJ,https://genius.com/artists/Ajj,https://images.genius.com/47f8b3e157ea0ee2f06dd3ea1c649e71.1000x563x1.jpg
1,139437,Personal Space Invader,https://genius.com/Ajj-personal-space-invader-lyrics,/Ajj-personal-space-invader-lyrics,https://images.genius.com/bfc2b80bdbfaa40a478bf4fec0705a80.400x400x1.jpg,9,3,40035,AJJ,https://genius.com/artists/Ajj,https://images.genius.com/47f8b3e157ea0ee2f06dd3ea1c649e71.1000x563x1.jpg
1,155482,Big Bird,https://genius.com/Ajj-big-bird-lyrics,/Ajj-big-bird-lyrics,https://images.genius.com/08c07d12ea52c0cdab653a72d694da79.360x360x1.jpg,15,1,40035,AJJ,https://genius.com/artists/Ajj,https://images.genius.com/47f8b3e157ea0ee2f06dd3ea1c649e71.1000x563x1.jpg
1,132911,Brave As A Noun,https://genius.com/Ajj-brave-as-a-noun-lyrics,/Ajj-brave-as-a-noun-lyrics,https://images.genius.com/bfc2b80bdbfaa40a478bf4fec0705a80.400x400x1.jpg,12,8,40035,AJJ,https://genius.com/artists/Ajj,https://images.genius.com/47f8b3e157ea0ee2f06dd3ea1c649e71.1000x563x1.jpg
1,132922,Survival Song,https://genius.com/Ajj-survival-song-lyrics,/Ajj-survival-song-lyrics,https://images.genius.com/bfc2b80bdbfaa40a478bf4fec0705a80.400x400x1.jpg,16,,40035,AJJ,https://genius.com/artists/Ajj,https://images.genius.com/47f8b3e157ea0ee2f06dd3ea1c649e71.1000x563x1.jpg
1,202795,American Tune,https://genius.com/Ajj-american-tune-lyrics,/Ajj-american-tune-lyrics,https://images.genius.com/08c07d12ea52c0cdab653a72d694da79.360x360x1.jpg,11,3,40035,AJJ,https://genius.com/artists/Ajj,https://images.genius.com/47f8b3e157ea0ee2f06dd3ea1c649e71.1000x563x1.jpg
2,420816,Temple Grandin,https://genius.com/Ajj-temple-grandin-lyrics,/Ajj-temple-grandin-lyrics,https://images.genius.com/ca718d5b8557432d0ced560971f7cf9e.640x640x1.jpg,12,2,40035,AJJ,https://genius.com/artists/Ajj,https://images.genius.com/47f8b3e157ea0ee2f06dd3ea1c649e71.1000x563x1.jpg
2,447987,Back Pack,https://genius.com/Ajj-back-pack-lyrics,/Ajj-back-pack-lyrics,https://images.genius.com/08c07d12ea52c0cdab653a72d694da79.360x360x1.jpg,14,,40035,AJJ,https://genius.com/artists/Ajj,https://images.genius.com/47f8b3e157ea0ee2f06dd3ea1c649e71.1000x563x1.jpg
2,2797556,"Goodbye, Oh Goodbye",https://genius.com/Ajj-goodbye-oh-goodbye-lyrics,/Ajj-goodbye-oh-goodbye-lyrics,https://images.genius.com/000cca2d6c67091b3b21fd06cb8a7eab.450x450x1.png,13,,40035,AJJ,https://genius.com/artists/Ajj,https://images.genius.com/47f8b3e157ea0ee2f06dd3ea1c649e71.1000x563x1.jpg
2,132901,Rejoice,https://genius.com/Ajj-rejoice-lyrics,/Ajj-rejoice-lyrics,https://images.genius.com/bfc2b80bdbfaa40a478bf4fec0705a80.400x400x1.jpg,16,2,40035,AJJ,https://genius.com/artists/Ajj,https://images.genius.com/47f8b3e157ea0ee2f06dd3ea1c649e71.1000x563x1.jpg
2,244168,Gift Of The Magi 2: Return Of The Magi,https://genius.com/Ajj-gift-of-the-magi-2-return-of-the-magi-lyrics,/Ajj-gift-of-the-magi-2-return-of-the-magi-lyrics,https://images.genius.com/08c07d12ea52c0cdab653a72d694da79.360x360x1.jpg,17,3,40035,AJJ,https://genius.com/artists/Ajj,https://images.genius.com/47f8b3e157ea0ee2f06dd3ea1c649e71.1000x563x1.jpg
2,166475,Bad Bad Things,https://genius.com/Ajj-bad-bad-things-lyrics,/Ajj-bad-bad-things-lyrics,https://images.genius.com/bfc2b80bdbfaa40a478bf4fec0705a80.400x400x1.jpg,9,1,40035,AJJ,https://genius.com/artists/Ajj,https://images.genius.com/47f8b3e157ea0ee2f06dd3ea1c649e71.1000x563x1.jpg
2,202771,People,https://genius.com/Ajj-people-lyrics,/Ajj-people-lyrics,https://images.genius.com/bfc2b80bdbfaa40a478bf4fec0705a80.400x400x1.jpg,8,1,40035,AJJ,https://genius.com/artists/Ajj,https://images.genius.com/47f8b3e157ea0ee2f06dd3ea1c649e71.1000x563x1.jpg
