page,id,title,url,path,header_image_url,annotation_count,pyongs_count,primaryartist_id,primaryartist_name,primaryartist_url,primaryartist_imageurl
1,508676,The Beginning,https://genius.com/L-jinny-the-beginning-lyrics,/L-jinny-the-beginning-lyrics,https://images.genius.com/975f118bbe272443ba3df2bd655b4de3.500x500x1.jpg,2,7,221966,L Jinny,https://genius.com/artists/L-jinny,https://images.genius.com/4b852ad8e9ad8945173da6924f97abb3.366x366x1.jpg
1,515579,Overdose,https://genius.com/L-jinny-overdose-lyrics,/L-jinny-overdose-lyrics,https://images.genius.com/4b852ad8e9ad8945173da6924f97abb3.366x366x1.jpg,2,1,221966,L Jinny,https://genius.com/artists/L-jinny,https://images.genius.com/4b852ad8e9ad8945173da6924f97abb3.366x366x1.jpg
1,414626,Fourteen Points of Jinnah,https://genius.com/Muhammad-ali-jinnah-fourteen-points-of-jinnah-annotated,/Muhammad-ali-jinnah-fourteen-points-of-jinnah-annotated,https://images.genius.com/3f3c7721aa208a1c7476ab4a7b17c0cf.387x387x1.jpg,4,5,172589,Muhammad Ali Jinnah,https://genius.com/artists/Muhammad-ali-jinnah,https://images.genius.com/3f3c7721aa208a1c7476ab4a7b17c0cf.387x387x1.jpg
1,699061,Dreamer,https://genius.com/Tabanacle-and-l-jinny-dreamer-lyrics,/Tabanacle-and-l-jinny-dreamer-lyrics,https://images.genius.com/1572d8c4fdba24da0556d30510b6e9e2.500x500x1.jpg,1,,1065833,Tabanacle & L Jinny,https://genius.com/artists/Tabanacle-and-l-jinny,https://images.genius.com/ff603650089a4a6b5ed3238726342630.482x482x1.jpg
1,2974162,Jinn,https://genius.com/Soen-jinn-lyrics,/Soen-jinn-lyrics,https://images.genius.com/b1c0dc9a297b01888ad9b7f73bd1fc82.1000x1000x1.jpg,0,,376518,Soen,https://genius.com/artists/Soen,https://images.genius.com/ac99496bd12980e2e903f89b6f3213ea.333x333x1.jpg
1,510167,Warm Up Sessions,https://genius.com/L-jinny-warm-up-sessions-lyrics,/L-jinny-warm-up-sessions-lyrics,https://images.genius.com/4b852ad8e9ad8945173da6924f97abb3.366x366x1.jpg,4,2,221966,L Jinny,https://genius.com/artists/L-jinny,https://images.genius.com/4b852ad8e9ad8945173da6924f97abb3.366x366x1.jpg
1,719716,Glooberz,https://genius.com/Tabanacle-and-l-jinny-glooberz-lyrics,/Tabanacle-and-l-jinny-glooberz-lyrics,https://images.rapgenius.com/8c3b57efa20db1bfcbbf9948121b429f.500x500x1.jpg,1,1,1065833,Tabanacle & L Jinny,https://genius.com/artists/Tabanacle-and-l-jinny,https://images.genius.com/ff603650089a4a6b5ed3238726342630.482x482x1.jpg
1,687987,Final Stage,https://genius.com/L-jinny-final-stage-lyrics,/L-jinny-final-stage-lyrics,https://images.genius.com/4b852ad8e9ad8945173da6924f97abb3.366x366x1.jpg,1,2,221966,L Jinny,https://genius.com/artists/L-jinny,https://images.genius.com/4b852ad8e9ad8945173da6924f97abb3.366x366x1.jpg
1,717052,#DirtyPastCleanHeart Freestyle,https://genius.com/L-jinny-dirtypastcleanheart-freestyle-lyrics,/L-jinny-dirtypastcleanheart-freestyle-lyrics,https://images.genius.com/4b852ad8e9ad8945173da6924f97abb3.366x366x1.jpg,1,,221966,L Jinny,https://genius.com/artists/L-jinny,https://images.genius.com/4b852ad8e9ad8945173da6924f97abb3.366x366x1.jpg
1,711732,Heart Cries,https://genius.com/Tabanacle-and-l-jinny-heart-cries-lyrics,/Tabanacle-and-l-jinny-heart-cries-lyrics,https://images.genius.com/1572d8c4fdba24da0556d30510b6e9e2.500x500x1.jpg,1,,1065833,Tabanacle & L Jinny,https://genius.com/artists/Tabanacle-and-l-jinny,https://images.genius.com/ff603650089a4a6b5ed3238726342630.482x482x1.jpg
2,696073,Dog Pound,https://genius.com/L-jinny-dog-pound-lyrics,/L-jinny-dog-pound-lyrics,https://images.rapgenius.com/9fd10033b7111076ebdfb382d6236f17.470x220x1.jpg,1,,221966,L Jinny,https://genius.com/artists/L-jinny,https://images.genius.com/4b852ad8e9ad8945173da6924f97abb3.366x366x1.jpg
2,713674,Remember The Days,https://genius.com/L-jinny-remember-the-days-lyrics,/L-jinny-remember-the-days-lyrics,https://images.genius.com/975f118bbe272443ba3df2bd655b4de3.500x500x1.jpg,1,1,221966,L Jinny,https://genius.com/artists/L-jinny,https://images.genius.com/4b852ad8e9ad8945173da6924f97abb3.366x366x1.jpg
2,722005,The Unknown,https://genius.com/Tabanacle-and-l-jinny-the-unknown-lyrics,/Tabanacle-and-l-jinny-the-unknown-lyrics,https://images.rapgenius.com/8c3b57efa20db1bfcbbf9948121b429f.500x500x1.jpg,1,,1065833,Tabanacle & L Jinny,https://genius.com/artists/Tabanacle-and-l-jinny,https://images.genius.com/ff603650089a4a6b5ed3238726342630.482x482x1.jpg
2,700585,Mirror,https://genius.com/L-jinny-mirror-lyrics,/L-jinny-mirror-lyrics,https://images.genius.com/4b852ad8e9ad8945173da6924f97abb3.366x366x1.jpg,2,,221966,L Jinny,https://genius.com/artists/L-jinny,https://images.genius.com/4b852ad8e9ad8945173da6924f97abb3.366x366x1.jpg
2,2391144,Street Deciplez,https://genius.com/L-jinny-street-deciplez-lyrics,/L-jinny-street-deciplez-lyrics,https://images.genius.com/4b852ad8e9ad8945173da6924f97abb3.366x366x1.jpg,1,2,221966,L Jinny,https://genius.com/artists/L-jinny,https://images.genius.com/4b852ad8e9ad8945173da6924f97abb3.366x366x1.jpg
2,690149,Life I Know,https://genius.com/L-jinny-life-i-know-lyrics,/L-jinny-life-i-know-lyrics,https://images.rapgenius.com/75745e693717c77cb6a3829de21d8031.480x360x1.jpg,1,,221966,L Jinny,https://genius.com/artists/L-jinny,https://images.genius.com/4b852ad8e9ad8945173da6924f97abb3.366x366x1.jpg
2,694005,The Principle,https://genius.com/L-jinny-the-principle-lyrics,/L-jinny-the-principle-lyrics,https://images.rapgenius.com/d985ca5fc243a321d23651c562cc89cb.480x360x1.jpg,1,,221966,L Jinny,https://genius.com/artists/L-jinny,https://images.genius.com/4b852ad8e9ad8945173da6924f97abb3.366x366x1.jpg
2,694791,Still Here,https://genius.com/L-jinny-still-here-lyrics,/L-jinny-still-here-lyrics,https://images.genius.com/975f118bbe272443ba3df2bd655b4de3.500x500x1.jpg,1,,221966,L Jinny,https://genius.com/artists/L-jinny,https://images.genius.com/4b852ad8e9ad8945173da6924f97abb3.366x366x1.jpg
2,711068,Faith,https://genius.com/L-jinny-faith-lyrics,/L-jinny-faith-lyrics,https://images.genius.com/4b852ad8e9ad8945173da6924f97abb3.366x366x1.jpg,1,1,221966,L Jinny,https://genius.com/artists/L-jinny,https://images.genius.com/4b852ad8e9ad8945173da6924f97abb3.366x366x1.jpg
2,697885,World On My Shoulder,https://genius.com/L-jinny-world-on-my-shoulder-lyrics,/L-jinny-world-on-my-shoulder-lyrics,https://images.genius.com/975f118bbe272443ba3df2bd655b4de3.500x500x1.jpg,2,,221966,L Jinny,https://genius.com/artists/L-jinny,https://images.genius.com/4b852ad8e9ad8945173da6924f97abb3.366x366x1.jpg
3,697739,Can't Be Life,https://genius.com/L-jinny-cant-be-life-lyrics,/L-jinny-cant-be-life-lyrics,https://images.genius.com/975f118bbe272443ba3df2bd655b4de3.500x500x1.jpg,1,1,221966,L Jinny,https://genius.com/artists/L-jinny,https://images.genius.com/4b852ad8e9ad8945173da6924f97abb3.366x366x1.jpg
3,718860,Listen Up,https://genius.com/Tabanacle-and-l-jinny-listen-up-lyrics,/Tabanacle-and-l-jinny-listen-up-lyrics,https://images.rapgenius.com/8c3b57efa20db1bfcbbf9948121b429f.500x500x1.jpg,1,,1065833,Tabanacle & L Jinny,https://genius.com/artists/Tabanacle-and-l-jinny,https://images.genius.com/ff603650089a4a6b5ed3238726342630.482x482x1.jpg
3,722462,My Escape,https://genius.com/Tabanacle-and-l-jinny-my-escape-lyrics,/Tabanacle-and-l-jinny-my-escape-lyrics,https://images.genius.com/1572d8c4fdba24da0556d30510b6e9e2.500x500x1.jpg,1,,1065833,Tabanacle & L Jinny,https://genius.com/artists/Tabanacle-and-l-jinny,https://images.genius.com/ff603650089a4a6b5ed3238726342630.482x482x1.jpg
3,729653,Cypher Sessions,https://genius.com/L-jinny-cypher-sessions-lyrics,/L-jinny-cypher-sessions-lyrics,https://images.genius.com/4b852ad8e9ad8945173da6924f97abb3.366x366x1.jpg,1,,221966,L Jinny,https://genius.com/artists/L-jinny,https://images.genius.com/4b852ad8e9ad8945173da6924f97abb3.366x366x1.jpg
3,700266,Tell Me Why,https://genius.com/L-jinny-tell-me-why-lyrics,/L-jinny-tell-me-why-lyrics,https://images.genius.com/975f118bbe272443ba3df2bd655b4de3.500x500x1.jpg,1,,221966,L Jinny,https://genius.com/artists/L-jinny,https://images.genius.com/4b852ad8e9ad8945173da6924f97abb3.366x366x1.jpg
3,2141452,Pass The Jinn,https://genius.com/House-of-pain-pass-the-jinn-lyrics,/House-of-pain-pass-the-jinn-lyrics,https://images.genius.com/41a945b7d03b2c87e08285b289fece00.1000x1000x1.png,6,,942,House Of Pain,https://genius.com/artists/House-of-pain,https://images.genius.com/5e4a1f597223faae9dd17c2e40a5048a.500x500x1.jpg
3,2391190,Street Deciplez 2,https://genius.com/L-jinny-street-deciplez-2-lyrics,/L-jinny-street-deciplez-2-lyrics,https://images.rapgenius.com/0e828f9eeda2bcd1ca1caf2f599d0af3.1000x557x1.jpg,1,,221966,L Jinny,https://genius.com/artists/L-jinny,https://images.genius.com/4b852ad8e9ad8945173da6924f97abb3.366x366x1.jpg
3,515577,TeamPoisoN & Anonymous,https://genius.com/L-jinny-teampoison-and-anonymous-lyrics,/L-jinny-teampoison-and-anonymous-lyrics,https://images.genius.com/4b852ad8e9ad8945173da6924f97abb3.366x366x1.jpg,1,,221966,L Jinny,https://genius.com/artists/L-jinny,https://images.genius.com/4b852ad8e9ad8945173da6924f97abb3.366x366x1.jpg
3,722030,The Future,https://genius.com/Tabanacle-and-l-jinny-the-future-lyrics,/Tabanacle-and-l-jinny-the-future-lyrics,https://images.genius.com/1572d8c4fdba24da0556d30510b6e9e2.500x500x1.jpg,1,,1065833,Tabanacle & L Jinny,https://genius.com/artists/Tabanacle-and-l-jinny,https://images.genius.com/ff603650089a4a6b5ed3238726342630.482x482x1.jpg
3,722021,Problems Of A Talented Life,https://genius.com/Tabanacle-and-l-jinny-problems-of-a-talented-life-lyrics,/Tabanacle-and-l-jinny-problems-of-a-talented-life-lyrics,https://images.genius.com/1572d8c4fdba24da0556d30510b6e9e2.500x500x1.jpg,1,,1065833,Tabanacle & L Jinny,https://genius.com/artists/Tabanacle-and-l-jinny,https://images.genius.com/ff603650089a4a6b5ed3238726342630.482x482x1.jpg
4,2852146,Jinnah,https://genius.com/Humeysha-jinnah-lyrics,/Humeysha-jinnah-lyrics,https://images.genius.com/ed6f0abf030db439ded9e057b9d76d52.703x703x1.jpg,10,,651345,Humeysha,https://genius.com/artists/Humeysha,https://images.genius.com/7a6ceed26f8f7c4c9728a5f7d664ff3b.512x512x1.png
4,2410228,32 Bullets For Freedom,https://genius.com/L-jinny-32-bullets-for-freedom-lyrics,/L-jinny-32-bullets-for-freedom-lyrics,https://images.genius.com/4b852ad8e9ad8945173da6924f97abb3.366x366x1.jpg,1,,221966,L Jinny,https://genius.com/artists/L-jinny,https://images.genius.com/4b852ad8e9ad8945173da6924f97abb3.366x366x1.jpg
4,2416927,Street Deciplez 3,https://genius.com/L-jinny-street-deciplez-3-lyrics,/L-jinny-street-deciplez-3-lyrics,https://images.genius.com/4b852ad8e9ad8945173da6924f97abb3.366x366x1.jpg,1,,221966,L Jinny,https://genius.com/artists/L-jinny,https://images.genius.com/4b852ad8e9ad8945173da6924f97abb3.366x366x1.jpg
